Unnamed: 0,Orthogroup.ID,AHRD.Descriptions,TAIR.Gene.s..Descriptions,Pfam.Domains,GO.Molecular.Functions,GO.Biological.Processes,Cluster
Pn1.100,786,Protein kinase superfamily protein ,Protein kinase protein with adenine nucleotide alpha hydrolases-like domain,Pkinase ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000] | response to stress (GO:0006950) [0.687],6
Pn1.1041,1654,purine permease 11 ,purine permease 11 ,TPT ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.1089,676,pyruvate decarboxylase-2 ,Thiamine pyrophosphate dependent pyruvate decarboxylase family protein ,TPP_enzyme_N ,thiamine pyrophosphate binding ,NULL / Representative annotation below 0.1%,3
Pn1.1128,4324,Eukaryotic aspartyl protease family protein ,Eukaryotic aspartyl protease family protein,TAXi_C ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn1.1158,9166,CDGSH iron-sulfur domain-containing protein 2A ,"2 iron, 2 sulfur cluster binding",zf-CDGSH ,"2 iron, 2 sulfur cluster binding ",NULL / Representative annotation below 0.1%,4
Pn1.1178,11381,"cytochrome P450, family 71, subfamily B, polypeptide 20 ",Unkown protein(s) / No TAIR description(s),p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],1
Pn1.1184,2838,glycine-rich protein ,glycine-rich protein,Mlf1IP ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.1224,545,Protein YABBY 2 ,Plant-specific transcription factor YABBY family protein ,YABBY ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn1.1243,324,Plant invertase/pectin methylesterase inhibitor superfamily protein ,Plant invertase/pectin methylesterase inhibitor superfamily protein ,PMEI ,enzyme inhibitor activity ,NULL / Representative annotation below 0.1%,6
Pn1.1282,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],2
Pn1.1283,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],2
Pn1.13,1139,Phototropic-responsive NPH3 family protein ,Phototropic-responsive NPH3 family protein,NPH3 ,protein binding ,NULL / Representative annotation below 0.1%,6
Pn1.1331,727,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.144,4515,Epimerase family protein SDR39U1 ,NAD(P)-binding Rossmann-fold superfamily protein,DUF1731 ,coenzyme binding ,cellular metabolic process (GO:0044237) [0.529],6
Pn1.1452,7362,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn1.1469,402,Tubby-like F-box protein 8 ,tubby like protein 5 ,Tub ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn1.1486,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],2
Pn1.1492,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],2
Pn1.1494,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],2
