Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q3ZPN4	reviewed	ACMAT_VITLA	Methanol O-anthraniloyltransferase (EC 2.3.1.232) (Anthraniloyl-CoA:methanol acyltransferase) (Benzyl alcohol O-benzoyltransferase) (EC 2.3.1.196)	AMAT	Vitis labrusca (Concord grape)	449
Q6E593	reviewed	BEBT1_PETHY	Benzyl alcohol O-benzoyltransferase (PhBEBT1) (EC 2.3.1.196) (Acetyl CoA:3-hydroxybenzyl alcohol acetyltransferase) (EC 2.3.1.-) (Acetyl CoA:benzyl alcohol acetyltransferase) (EC 2.3.1.224) (Acetyl CoA:geraniol acetyltransferase) (EC 2.3.1.-) (Benzoyl coenzyme A:benzyl alcohol benzoyl transferase) (Benzyl CoA:benzyl alcohol/phenylethanol benzoyltransferase) (PhBPBT) (Benzyl CoA:(3Z)-hex-3-en-1-ol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:2-phenylethanol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:3-hydroxybenzyl alcohol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:butanol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:geraniol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:octan-1-ol benzoyltransferase) (EC 2.3.1.-)	BEBT1 BPBT	Petunia hybrida (Petunia)	460
Q8GT21	reviewed	BEBT_CLABR	Benzyl alcohol O-benzoyltransferase (EC 2.3.1.196) (Benzoyl coenzyme A:benzyl alcohol benzoyl transferase)		Clarkia breweri (Fairy fans) (Eucharidium breweri)	456
Q8GT20	reviewed	BEBT_TOBAC	Benzyl alcohol O-benzoyltransferase (EC 2.3.1.196) (Benzoyl coenzyme A:benzyl alcohol benzoyl transferase)	HSR201	Nicotiana tabacum (Common tobacco)	460
A0A072UW71	unreviewed	A0A072UW71_MEDTR	Benzyl alcohol O-benzoyltransferase (Putative benzyl alcohol O-benzoyltransferase (EC 2.3.1.196))	25488955 MTR_3g051790 MtrunA17_Chr3g0098961	Medicago truncatula (Barrel medic) (Medicago tribuloides)	181
A0A072VG31	unreviewed	A0A072VG31_MEDTR	Benzyl alcohol O-benzoyltransferase (Putative benzyl alcohol O-benzoyltransferase (EC 2.3.1.196))	25482869 MTR_1g040175 MtrunA17_Chr1g0165661	Medicago truncatula (Barrel medic) (Medicago tribuloides)	458
A0A072VH86	unreviewed	A0A072VH86_MEDTR	Benzyl alcohol O-benzoyltransferase (Putative benzyl alcohol O-benzoyltransferase (EC 2.3.1.196))	25482871 MTR_1g040215 MtrunA17_Chr1g0165681	Medicago truncatula (Barrel medic) (Medicago tribuloides)	461
A0A072VH91	unreviewed	A0A072VH91_MEDTR	Benzyl alcohol O-benzoyltransferase (Putative benzyl alcohol O-benzoyltransferase (EC 2.3.1.196))	25482876 MTR_1g040315 MtrunA17_Chr1g0165711	Medicago truncatula (Barrel medic) (Medicago tribuloides)	417
A0A251SSC4	unreviewed	A0A251SSC4_HELAN	Benzyl alcohol O-benzoyltransferase (EC 2.3.1.196) (Putative transferase, Chloramphenicol acetyltransferase-like domain protein)	HannXRQ_Chr13g0401711 HanXRQr2_Chr11g0514531	Helianthus annuus (Common sunflower)	454
A0A251TCX9	unreviewed	A0A251TCX9_HELAN	Benzyl alcohol O-benzoyltransferase (EC 2.3.1.196) (Putative acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase)	CHAT HannXRQ_Chr11g0348111 HanXRQr2_Chr11g0513541	Helianthus annuus (Common sunflower)	455
