Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A024F9J0	reviewed	AMP-dependent ligase vlmC	1756136	Lecanicillium sp.	580	PF13193	480..562
A0A0A2J5U8	reviewed	Acyl-CoA ligase cnsG	27334	Penicillium expansum	481	PF13193	384..466
A0A0G2K047	reviewed	Acyl-CoA synthetase short-chain family member 3, mitochondrial	10116	Rattus norvegicus	683	PF13193	567..645
A0A0H2ZF83	reviewed	Pyochelin synthase PchD	208963	Pseudomonas aeruginosa (strain UCBPP-PA14)	547	PF13193	454..529
A0A0S6XHF8	reviewed	Acyl-CoA ligase frbB	1603295	Fungal sp. (strain No.11243)	561	PF13193	472..551
A0A179HJB8	reviewed	Acyl-CoA ligase lcsD	33203	Purpureocillium lilacinum	386	PF13193	251..331
A0A2H5AIX5	reviewed	4-coumarate-CoA ligase 1	39639	Narcissus pseudonarcissus	547	PF13193	452..527
A0A2H5AIY4	reviewed	4-coumarate-CoA ligase 2	39639	Narcissus pseudonarcissus	569	PF13193	479..554
A0A2I2F262	reviewed	PKS-NRPS hybrid synthetase acdB	41067	Aspergillus candidus	2498	PF13193	435..513
A0A345BJN3	reviewed	Acyl-CoA ligase clz12	5503	Cochliobolus lunatus	344	PF13193	248..322
A0A348AXX4	reviewed	Nonribosomal peptide synthetase	95742	Curvularia clavata	13041	PF13193	4308..4385,9830..9916,12385..12471
A0A3G1DJF8	reviewed	Acyl-CoA ligase M9	1828523	Phoma sp. (strain ATCC 20986 / MF5453)	541	PF13193	445..519
A0A3G9H9I5	reviewed	Acyl-CoA synthetase ALT10	5599	Alternaria alternata	566	PF13193	473..551
A0A6B9HER0	reviewed	Piperic acid--CoA ligase	13216	Piper nigrum	548	PF13193	459..534
A0AH92	reviewed	D-alanine--D-alanyl carrier protein ligase	386043	Listeria welshimeri serovar 6b (strain ATCC 35897 / DSM 20650 / CIP 8149 / NCTC 11857 / SLCC 5334 / V8)	510	PF13193	420..498
A0B8F1	reviewed	Acetyl-coenzyme A synthetase	349307	Methanothrix thermoacetophila (strain DSM 6194 / JCM 14653 / NBRC 101360 / PT)	659	PF13193	547..625
A0KNI2	reviewed	Acetyl-coenzyme A synthetase	380703	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049)	648	PF13193	530..608
A0KY83	reviewed	Acetyl-coenzyme A synthetase	94122	Shewanella sp. (strain ANA-3)	650	PF13193	531..609
A0L576	reviewed	Acetyl-coenzyme A synthetase	156889	Magnetococcus marinus (strain ATCC BAA-1437 / JCM 17883 / MC-1)	644	PF13193	528..606
A0LG91	reviewed	Acetyl-coenzyme A synthetase	335543	Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)	650	PF13193	527..605
A0R4Q2	reviewed	Medium/long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase	246196	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155)	551	PF13193	448..523
A0R5G1	reviewed	Acetyl-coenzyme A synthetase	246196	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155)	940	PF13193	827..906
A0RBJ0	reviewed	D-alanine--D-alanyl carrier protein ligase	412694	Bacillus thuringiensis (strain Al Hakam)	504	PF13193	413..492
A0RK73	reviewed	2-succinylbenzoate--CoA ligase	412694	Bacillus thuringiensis (strain Al Hakam)	482	PF13193	396..469
A1A787	reviewed	Crotonobetaine/carnitine--CoA ligase	405955	Escherichia coli O1:K1 / APEC	517	PF13193	435..510
A1JIK3	reviewed	Acetyl-coenzyme A synthetase	393305	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	652	PF13193	531..609
A1JPF0	reviewed	Bifunctional protein Aas	393305	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	718	PF13193	630..701
A1RIK1	reviewed	Acetyl-coenzyme A synthetase	351745	Shewanella sp. (strain W3-18-1)	650	PF13193	531..609
A1S7C8	reviewed	Acetyl-coenzyme A synthetase	326297	Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)	650	PF13193	531..609
A1SZA2	reviewed	Acetyl-coenzyme A synthetase	357804	Psychromonas ingrahamii (strain DSM 17664 / CCUG 51855 / 37)	649	PF13193	531..609
A1U2S9	reviewed	Acetyl-coenzyme A synthetase	351348	Marinobacter nauticus (strain ATCC 700491 / DSM 11845 / VT8)	649	PF13193	532..610
A1UR36	reviewed	Acetyl-coenzyme A synthetase	360095	Bartonella bacilliformis (strain ATCC 35685 / KC583 / Herrer 020/F12,63)	652	PF13193	531..609
A1UWN5	reviewed	Acetyl-coenzyme A synthetase	320388	Burkholderia mallei (strain SAVP1)	660	PF13193	544..625
A1W1D6	reviewed	Acetyl-coenzyme A synthetase	354242	Campylobacter jejuni subsp. jejuni serotype O:23/36 (strain 81-176)	657	PF13193	535..617
A1WY97	reviewed	Acetyl-coenzyme A synthetase	349124	Halorhodospira halophila (strain DSM 244 / SL1)	645	PF13193	528..606
A2QTE5	reviewed	Phenylacetyl-CoA ligase epaB	425011	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	539	PF13193	449..525
A2RE45	reviewed	D-alanine--D-alanyl carrier protein ligase	160491	Streptococcus pyogenes serotype M5 (strain Manfredo)	512	PF13193	419..499
A2RYW5	reviewed	Acetyl-coenzyme A synthetase	412022	Burkholderia mallei (strain NCTC 10229)	660	PF13193	544..625
A3D3E8	reviewed	Acetyl-coenzyme A synthetase	325240	Shewanella baltica (strain OS155 / ATCC BAA-1091)	650	PF13193	531..609
A3MG40	reviewed	Acetyl-coenzyme A synthetase	320389	Burkholderia mallei (strain NCTC 10247)	660	PF13193	544..625
A3NH07	reviewed	Acetyl-coenzyme A synthetase	320373	Burkholderia pseudomallei (strain 668)	660	PF13193	544..625
A3P2K7	reviewed	Acetyl-coenzyme A synthetase	357348	Burkholderia pseudomallei (strain 1106a)	660	PF13193	544..625
A3QD52	reviewed	Acetyl-coenzyme A synthetase	323850	Shewanella loihica (strain ATCC BAA-1088 / PV-4)	650	PF13193	531..609
A4G3L8	reviewed	Acetyl-coenzyme A synthetase	204773	Herminiimonas arsenicoxydans	660	PF13193	544..625
A4SJM6	reviewed	Acetyl-coenzyme A synthetase	382245	Aeromonas salmonicida (strain A449)	648	PF13193	530..608
A4TLD3	reviewed	Bifunctional protein Aas	386656	Yersinia pestis (strain Pestoides F)	718	PF13193	630..701
A4TS06	reviewed	Acetyl-coenzyme A synthetase	386656	Yersinia pestis (strain Pestoides F)	652	PF13193	531..609
A4VKA0	reviewed	Acetyl-coenzyme A synthetase	379731	Stutzerimonas stutzeri (strain A1501)	651	PF13193	531..609
A4WJG1	reviewed	Acetyl-coenzyme A synthetase	340102	Pyrobaculum arsenaticum (strain DSM 13514 / JCM 11321 / PZ6)	670	PF13193	548..626
A4Y7Y7	reviewed	Acetyl-coenzyme A synthetase	319224	Shewanella putrefaciens (strain CN-32 / ATCC BAA-453)	650	PF13193	531..609
A4YDR9	reviewed	4-hydroxybutyrate--CoA ligase 2	399549	Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)	549	PF13193	457..530
A4YDT1	reviewed	4-hydroxybutyrate--CoA ligase 1	399549	Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)	564	PF13193	460..538
A4YGR1	reviewed	3-hydroxypropionyl-coenzyme A synthetase	399549	Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)	661	PF13193	540..617
A4YK73	reviewed	Acetyl-coenzyme A synthetase	114615	Bradyrhizobium sp. (strain ORS 278)	650	PF13193	528..606
A5IRB0	reviewed	D-alanine--D-alanyl carrier protein ligase	359786	Staphylococcus aureus (strain JH9)	485	PF13193	395..473
A5ITW2	reviewed	2-succinylbenzoate--CoA ligase	359786	Staphylococcus aureus (strain JH9)	492	PF13193	411..483
A5JTM6	reviewed	4-chlorobenzoate--CoA ligase	72586	Pseudomonas sp. (strain CBS-3)	528	PF13193	414..488
A5VSF3	reviewed	Acetyl-coenzyme A synthetase	444178	Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512)	651	PF13193	531..611
A6QFE3	reviewed	D-alanine--D-alanyl carrier protein ligase	426430	Staphylococcus aureus (strain Newman)	485	PF13193	395..473
A6QHX6	reviewed	2-succinylbenzoate--CoA ligase	426430	Staphylococcus aureus (strain Newman)	492	PF13193	411..483
A6U039	reviewed	D-alanine--D-alanyl carrier protein ligase	359787	Staphylococcus aureus (strain JH1)	485	PF13193	395..473
A6U2Q7	reviewed	2-succinylbenzoate--CoA ligase	359787	Staphylococcus aureus (strain JH1)	492	PF13193	411..483
A6UED8	reviewed	Acetyl-coenzyme A synthetase	366394	Sinorhizobium medicae (strain WSM419)	649	PF13193	531..609
A6VZN8	reviewed	Acetyl-coenzyme A synthetase	400668	Marinomonas sp. (strain MWYL1)	652	PF13193	534..613
A6WM52	reviewed	Acetyl-coenzyme A synthetase	402882	Shewanella baltica (strain OS185)	650	PF13193	531..609
A6WXV8	reviewed	Acetyl-coenzyme A synthetase	439375	Brucella anthropi (strain ATCC 49188 / DSM 6882 / CCUG 24695 / JCM 21032 / LMG 3331 / NBRC 15819 / NCTC 12168 / Alc 37)	651	PF13193	531..611
A7FFD1	reviewed	Bifunctional protein Aas	349747	Yersinia pseudotuberculosis serotype O:1b (strain IP 31758)	718	PF13193	630..701
A7FNG1	reviewed	Acetyl-coenzyme A synthetase	349747	Yersinia pseudotuberculosis serotype O:1b (strain IP 31758)	652	PF13193	531..609
A7GMR0	reviewed	D-alanine--D-alanyl carrier protein ligase	315749	Bacillus cytotoxicus (strain DSM 22905 / CIP 110041 / 391-98 / NVH 391-98)	504	PF13193	413..492
A7GU88	reviewed	2-succinylbenzoate--CoA ligase	315749	Bacillus cytotoxicus (strain DSM 22905 / CIP 110041 / 391-98 / NVH 391-98)	481	PF13193	395..468
A7HSR8	reviewed	Acetyl-coenzyme A synthetase	402881	Parvibaculum lavamentivorans (strain DS-1 / DSM 13023 / NCIMB 13966)	647	PF13193	528..606
A7IFD4	reviewed	Acetyl-coenzyme A synthetase	78245	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	651	PF13193	529..607
A7MB45	reviewed	Acyl-CoA synthetase short-chain family member 3, mitochondrial	9913	Bos taurus	686	PF13193	570..648
A7MPJ7	reviewed	Acetyl-coenzyme A synthetase	290339	Cronobacter sakazakii (strain ATCC BAA-894)	652	PF13193	531..609
A7X0D6	reviewed	D-alanine--D-alanyl carrier protein ligase	418127	Staphylococcus aureus (strain Mu3 / ATCC 700698)	485	PF13193	395..473
A7X3P0	reviewed	2-succinylbenzoate--CoA ligase	418127	Staphylococcus aureus (strain Mu3 / ATCC 700698)	492	PF13193	411..483
