target_id	length	eff_length	est_counts	tpm
Pn1.1	426	224.46	0	0
Pn1.2	237	63.0071	1	0.633849
Pn1.3	540	334.509	0	0
Pn1.4	264	82.9481	7	3.37029
Pn1.5	1026	818.804	495.82	24.1835
Pn1.6	1884	1676.8	38	0.905058
Pn1.7	2301	2093.8	705	13.4471
Pn1.8	411	210.487	3	0.569208
Pn1.9	253	74.7406	6	3.20605
Pn1.10	231	58.8548	0	0
Pn1.11	2217	2009.8	611	12.1412
Pn1.12	1326	1118.8	98	3.49822
Pn1.13	1617	1409.8	34	0.963153
Pn1.14	981	773.804	662	34.1666
Pn1.15	738	531.025	11	0.82728
Pn1.16	477	273.078	2	0.292495
Pn1.17	204	41.2701	0	0
Pn1.18	441	238.552	0	0
Pn1.19	3099	2891.8	503	6.94663
Pn1.20	1023	815.804	673	32.9461
Pn1.21	375	177.217	31	6.98606
Pn1.22	1014	806.804	340	16.8301
Pn1.23	366	169.165	0	0
Pn1.24	4242	4034.8	2322.03	22.9838
Pn1.25	1305	1097.8	0	0
Pn1.26	624	417.585	0	0
Pn1.27	456	253.022	0	0
Pn1.28	219	50.7362	0	0
Pn1.29	1473	1265.8	215	6.7834
Pn1.30	243	67.3185	11	6.5258
Pn1.31	1275	1067.8	190	7.1062
Pn1.32	3570	3362.8	570	6.76938
Pn1.33	570	364.151	0	0
Pn1.34	1461	1253.8	259	8.24984
Pn1.35	3357	3149.8	1000.78	12.689
Pn1.36	408	207.724	2	0.384519
Pn1.37	3663	3455.8	591.912	6.84043
Pn1.38	3300	3092.8	2209.09	28.5258
Pn1.39	210	44.9652	0	0
Pn1.40	909	701.867	290	16.5013
Pn1.41	381	182.686	1	0.21861
Pn1.42	1176	968.804	28	1.15424
Pn1.43	573	367.12	2	0.217569
Pn1.44	1173	965.804	206	8.51831
Pn1.45	1002	794.804	0	0
Pn1.46	894	686.867	120.575	7.01066
Pn1.47	438	235.685	0	0
Pn1.48	270	87.7164	0	0
Pn1.49	1947	1739.8	258	5.92236
Pn1.50	618	411.61	0	0
Pn1.51	279	94.822	10	4.21179
Pn1.52	2499	2291.8	126	2.19568
Pn1.53	757	549.994	0	0
Pn1.54	1083	875.804	434.456	19.8114
Pn1.55	228	56.7702	0	0
Pn1.56	1017	809.804	479	23.6228
Pn1.57	516	311.008	50.7687	6.51928
Pn1.58	1938	1730.8	14.7032	0.339264
Pn1.59	543	337.45	1	0.118349
Pn1.60	939	731.804	4	0.218293
Pn1.61	360	163.723	1	0.243931
Pn1.62	1395	1187.8	678.689	22.8193
Pn1.63	1185	977.804	16.7432	0.683853
Pn1.64	2139	1931.8	658	13.6031
Pn1.65	1104	896.804	282.529	12.5818
Pn1.66	555	349.319	84.8077	9.69591
Pn1.67	1266	1058.8	86.9697	3.28041
Pn1.68	276	92.3582	0	0
Pn1.69	2910	2702.8	246.763	3.64621
Pn1.70	672	465.255	0	0
Pn1.71	393	193.882	0	0
Pn1.72	981	773.804	1678.87	86.6488
Pn1.73	519	313.971	7.84733	0.998176
Pn1.74	1041	833.804	210.296	10.0726
Pn1.75	840	632.924	0	0
Pn1.76	768	560.994	247	17.5839
Pn1.77	498	293.38	258.915	35.2453
Pn1.78	1200	992.804	26.5515	1.06807
Pn1.79	420	218.861	7.1772	1.30967
Pn1.80	2490	2282.8	1550.3	27.1221
Pn1.81	300	111.92	0	0
Pn1.82	312	121.905	5	1.63803
Pn1.83	933	725.825	521.201	28.678
Pn1.84	1395	1187.8	685.955	23.0635
Pn1.85	219	50.7362	0	0
Pn1.86	747	540.01	42	3.10615
Pn1.87	2313	2105.8	351.583	6.66784
Pn1.88	2991	2783.8	374.764	5.37643
Pn1.89	801	593.961	3.5	0.235334
Pn1.90	579	373.066	3411.45	365.198
Pn1.91	708	501.086	2	0.159402
Pn1.92	579	373.066	4	0.428203
Pn1.93	1665	1457.8	105.231	2.88283
Pn1.94	237	63.0071	1	0.633849
Pn1.95	570	364.151	174.226	19.1076
Pn1.96	336	142.562	86	24.0919
Pn1.97	864	656.886	16.3499	0.994034
Pn1.98	237	63.0071	0	0
Pn1.99	2376	2168.8	169.141	3.11462
Pn1.100	1983	1775.8	34.2326	0.769874
Pn1.101	972	764.804	48.9886	2.55811
Pn1.102	822	614.961	520.898	33.8283
Pn1.103	1452	1244.8	7.53846	0.241856
Pn1.104	294	106.961	3	1.12014
Pn1.105	426	224.46	0	0
Pn1.106	486	281.735	143.972	20.4085
Pn1.107	1854	1646.8	645.73	15.6597
Pn1.108	615	408.658	2	0.195455
Pn1.109	1626	1418.8	145.045	4.08278
Pn1.110	843	635.924	10534.9	661.605
Pn1.111	702	495.101	3.3	0.266192
Pn1.112	474	270.214	83	12.2672
Pn1.113	3627	3419.8	903.707	10.5536
Pn1.114	612	405.681	3	0.295333
Pn1.115	300	111.92	7.11823	2.54003
Pn1.116	921	713.825	121.609	6.80377
Pn1.117	960	752.804	333	17.666
Pn1.118	1167	959.804	278.81	11.6011
Pn1.119	915	707.867	0	0
Pn1.120	2652	2444.8	1634.09	26.6936
Pn1.121	759	551.994	705.303	51.0289
Pn1.122	624	417.585	112.197	10.7302
Pn1.123	1506	1298.8	63.4631	1.95143
Pn1.124	1497	1289.8	111.866	3.46376
Pn1.125	474	270.214	0	0
Pn1.126	603	396.786	101.729	10.2391
Pn1.127	219	50.7362	69.6678	54.8391
Pn1.128	1371	1163.8	19.2857	0.661807
Pn1.129	477	273.078	40.035	5.85503
Pn1.130	750	543.01	3	0.220642
Pn1.131	204	41.2701	0	0
Pn1.132	342	147.789	0	0
Pn1.133	504	299.259	439.708	58.6804
Pn1.134	1278	1070.8	507.604	18.9317
Pn1.135	498	293.38	52	7.0786
Pn1.136	2889	2681.8	100.634	1.49863
Pn1.137	1929	1721.8	431.301	10.004
Pn1.138	1437	1229.8	180.144	5.85003
Pn1.139	660	453.295	0	0
Pn1.140	2586	2378.8	424.845	7.13259
Pn1.141	1194	986.804	109.833	4.44505
Pn1.142	582	376	0.5	0.0531077
Pn1.143	594	387.843	122.619	12.6263
Pn1.144	885	677.867	30.8711	1.81879
Pn1.145	207	43.123	0	0
Pn1.146	3408	3200.8	60.8299	0.758986
Pn1.147	498	293.38	1202.29	163.664
Pn1.148	1119	911.804	557.053	24.3989
Pn1.149	516	311.008	37.4721	4.81185
Pn1.150	1962	1754.8	17.2968	0.393653
Pn1.151	1116	908.804	2	0.0878891
Pn1.152	360	163.723	0	0
Pn1.153	1395	1187.8	690.311	23.21
Pn1.154	1563	1355.8	1.25677	0.0370198
Pn1.155	483	278.883	115	16.4684
Pn1.156	381	182.686	4.20053	0.918279
Pn1.157	2064	1856.8	424.471	9.12971
Pn1.158	555	349.319	62.1923	7.11033
Pn1.159	1266	1058.8	77.0303	2.9055
Pn1.160	705	498.101	0	0
Pn1.161	2886	2678.8	273.237	4.07355
Pn1.162	978	770.804	2472.99	128.131
Pn1.163	519	313.971	249.153	31.6921
Pn1.164	1056	848.804	499.704	23.5115
Pn1.165	912	704.867	0	0
Pn1.166	522	316.898	0	0
Pn1.167	270	87.7164	0	0
Pn1.168	504	299.259	63.085	8.41887
Pn1.169	1176	968.804	10.4485	0.43072
Pn1.170	2490	2282.8	1706.95	29.8626
Pn1.171	300	111.92	0	0
Pn1.172	321	129.634	0	0
Pn1.173	933	725.825	837.799	46.0981
Pn1.174	408	207.724	0	0
Pn1.175	1395	1187.8	624.045	20.982
Pn1.176	747	540.01	42	3.10615
Pn1.177	2313	2105.8	385.417	7.30951
Pn1.178	2991	2783.8	460.236	6.60264
Pn1.179	801	593.961	3.5	0.235334
Pn1.180	579	373.066	3411.45	365.198
Pn1.181	681	474.214	5	0.421087
Pn1.182	219	50.7362	3	2.36145
Pn1.183	1665	1457.8	86.7692	2.37707
Pn1.184	237	63.0071	0	0
Pn1.185	570	364.151	174.226	19.1076
Pn1.186	336	142.562	68	19.0494
Pn1.187	330	137.377	0	0
Pn1.188	2376	2168.8	147.859	2.72271
Pn1.189	1983	1775.8	57.7674	1.29916
Pn1.190	972	764.804	75.367	3.93556
Pn1.191	822	614.961	546.102	35.4652
Pn1.192	1452	1244.8	6.46154	0.207305
Pn1.193	294	106.961	0	0
Pn1.194	426	224.46	2	0.35585
Pn1.195	486	281.735	143.972	20.4085
Pn1.196	684	477.186	0	0
Pn1.197	807	599.961	8	0.532528
Pn1.198	486	281.735	124.219	17.6085
Pn1.199	1854	1646.8	624.833	15.1529
Pn1.200	624	417.585	3	0.286914
Pn1.201	297	109.498	2	0.729455
Pn1.202	882	674.867	0	0
Pn1.203	1224	1016.8	254.955	10.0139
Pn1.204	843	635.924	9785.14	614.521
Pn1.205	702	495.101	7.7	0.621115
Pn1.206	543	337.45	142	16.8056
Pn1.207	3696	3488.8	626.09	7.16697
Pn1.208	750	543.01	2.43059	0.178764
Pn1.209	921	713.825	86.0618	4.81497
Pn1.210	318	127.027	0	0
Pn1.211	1167	959.804	302.538	12.5885
Pn1.212	474	270.214	0	0
Pn1.213	540	334.509	0	0
Pn1.214	2622	2414.8	1364.91	22.5735
Pn1.215	753	546.01	818.925	59.8989
Pn1.216	522	316.898	268.803	33.8759
Pn1.217	240	65.1769	3	1.83824
Pn1.218	1872	1664.8	18.5369	0.444682
Pn1.219	1497	1289.8	96.1345	2.97667
Pn1.220	1260	1052.8	10	0.379339
Pn1.221	492	287.551	0	0
Pn1.222	375	177.217	3.03643	0.684279
Pn1.223	1029	821.804	329.332	16.0045
Pn1.224	1371	1163.8	16.7143	0.573566
Pn1.225	687	480.158	44.965	3.73995
Pn1.226	747	540.01	0	0
Pn1.227	342	147.789	0	0
Pn1.228	504	299.259	361.553	48.2503
Pn1.229	1278	1070.8	216.789	8.08543
Pn1.230	549	343.41	1	0.116295
Pn1.231	2235	2027.8	242.178	4.76961
Pn1.232	822	614.961	15.6597	1.01698
Pn1.233	2931	2723.8	1219.7	17.8835
Pn1.234	1437	1229.8	213.197	6.92343
Pn1.235	945	737.804	0	0
Pn1.236	2586	2378.8	636.155	10.6802
Pn1.237	1194	986.804	80.1482	3.24368
Pn1.238	582	376	0.5	0.0531077
Pn1.239	594	387.843	103.385	10.6457
Pn1.240	1023	815.804	8.12892	0.397944
Pn1.241	3402	3194.8	75.1701	0.939671
Pn1.242	498	293.38	901.714	122.748
Pn1.243	1119	911.804	524.947	22.9926
Pn1.244	1146	938.804	290.339	12.3511
Pn1.245	1146	938.804	809.661	34.4432
Pn1.246	1218	1010.8	309	12.2086
Pn1.247	258	78.4493	111	56.5079
Pn1.248	333	139.962	156	44.5135
Pn1.249	2286	2078.8	12	0.230538
Pn1.250	309	119.432	0	0
Pn1.251	426	224.46	0	0
Pn1.252	360	163.723	211	51.4694
Pn1.253	2880	2672.8	309	4.61707
Pn1.254	318	127.027	0	0
Pn1.255	321	129.634	117.6	36.2295
Pn1.256	876	668.886	551.391	32.9217
Pn1.257	2247	2039.8	1406	27.5278
Pn1.258	1647	1439.8	944.373	26.1948
Pn1.259	990	782.804	426	21.7336
Pn1.260	234	60.8906	294	192.829
Pn1.261	1218	1010.8	812	32.0822
Pn1.262	963	755.804	363	19.1811
Pn1.263	513	308.09	33	4.27772
Pn1.264	1242	1034.8	1468	56.6557
Pn1.265	954	746.804	0	0
Pn1.266	249	71.7953	0	0
Pn1.267	699	492.13	0.36446	0.0295764
Pn1.268	573	367.12	0	0
Pn1.269	699	492.13	0.36446	0.0295764
Pn1.270	954	746.804	18	0.96259
Pn1.271	870	662.886	0	0
Pn1.272	789	581.961	124.727	8.5594
Pn1.273	705	498.101	0	0
Pn1.274	795	587.961	0	0
Pn1.275	606	399.705	0	0
Pn1.276	561	355.267	0	0
Pn1.277	234	60.8906	0	0
Pn1.278	831	623.961	0	0
Pn1.279	630	423.549	0	0
Pn1.280	345	150.393	0	0
Pn1.281	1218	1010.8	0	0
Pn1.282	783	575.961	1	0.0693398
Pn1.283	432	230.009	2	0.347265
Pn1.284	546	340.43	432.215	50.7046
Pn1.285	306	116.905	0	0
Pn1.286	342	147.789	0	0
Pn1.287	315	124.51	0	0
Pn1.288	870	662.886	0	0
Pn1.289	699	492.13	0.36446	0.0295764
Pn1.290	693	486.13	2	0.164306
Pn1.291	666	459.268	9.90662	0.861458
Pn1.292	723	516.072	0	0
Pn1.293	855	647.905	74.2726	4.57818
Pn1.294	306	116.905	0	0
Pn1.295	264	82.9481	0	0
Pn1.296	750	543.01	0	0
Pn1.297	345	150.393	0	0
Pn1.298	1467	1259.8	3.3763	0.107032
Pn1.299	783	575.961	1	0.0693398
Pn1.300	432	230.009	2	0.347265
Pn1.301	1788	1580.8	1802.36	45.5343
Pn1.302	1185	977.804	0	0
Pn1.303	936	728.804	45	2.46591
Pn1.304	219	50.7362	0	0
Pn1.305	1194	986.804	112	4.53276
Pn1.306	522	316.898	552	69.5658
Pn1.307	1704	1496.8	5	0.133408
Pn1.308	1257	1049.8	288	10.9562
Pn1.309	1128	920.804	71	3.0794
Pn1.310	366	169.165	0	0
Pn1.311	375	177.217	0	0
Pn1.312	2514	2306.8	3	0.0519381
Pn1.313	804	596.961	2	0.133801
Pn1.314	963	755.804	0	0
Pn1.315	969	761.804	0	0
Pn1.316	1104	896.804	174.17	7.75626
Pn1.317	1609	1401.8	37	1.05412
Pn1.318	1944	1736.8	1.06399	0.024466
Pn1.319	693	486.13	1410.38	115.867
Pn1.320	1497	1289.8	251	7.77187
Pn1.321	1200	992.804	215	8.64869
Pn1.322	864	656.886	0	0
Pn1.323	386	187.34	0	0
Pn1.324	270	87.7164	30	13.6589
Pn1.325	339	145.156	0	0
Pn1.326	453	250.134	0	0
Pn1.327	264	82.9481	0	0
Pn1.328	1158	950.804	0	0
Pn1.329	870	662.886	2.21073	0.13319
Pn1.330	690	483.144	3	0.247982
Pn1.331	1026	818.804	0	0
Pn1.332	459	255.91	0	0
Pn1.333	363	166.486	0	0
Pn1.334	792	584.961	1.15751	0.0790264
Pn1.335	1254	1046.8	0	0
Pn1.336	567	361.194	0	0
Pn1.337	858	650.905	0	0
Pn1.338	846	638.924	4.63177	0.289516
Pn1.339	939	731.804	14	0.764027
Pn1.340	237	63.0071	0	0
Pn1.341	291	104.529	2	0.764134
Pn1.342	699	492.13	117	9.49471
Pn1.343	2259	2051.8	643.128	12.518
Pn1.344	3483	3275.8	833	10.1555
Pn1.345	426	224.46	133	23.664
Pn1.346	276	92.3582	0	0
Pn1.347	633	426.512	6040	565.564
Pn1.348	702	495.101	6	0.483986
Pn1.349	249	71.7953	8	4.45009
Pn1.350	429	227.205	0	0
Pn1.351	1527	1319.8	203	6.14274
Pn1.352	975	767.804	98	5.09743
Pn1.353	1002	794.804	88.3231	4.43802
Pn1.354	1017	809.804	64	3.15628
Pn1.355	231	58.8548	0	0
Pn1.356	423	221.646	0	0
Pn1.357	1104	896.804	0	0
Pn1.358	3078	2870.8	149	2.0728
Pn1.359	621	414.61	0	0
Pn1.360	525	319.776	2.5	0.312226
Pn1.361	525	319.776	2.5	0.312226
Pn1.362	687	480.158	6	0.499048
Pn1.363	525	319.776	8	0.999123
Pn1.364	714	507.072	10	0.787601
Pn1.365	2955	2747.8	41.8957	0.608918
Pn1.366	333	139.962	4.57198	1.30458
Pn1.367	315	124.51	0	0
Pn1.368	726	519.072	477	36.7
Pn1.369	255	76.2148	1	0.524006
Pn1.370	2442	2234.8	1642	29.3433
Pn1.371	1758	1550.8	228.305	5.8794
Pn1.372	528	322.72	36	4.45504
Pn1.373	381	182.686	217	47.4384
Pn1.374	696	489.13	16	1.30639
Pn1.375	867	659.886	39.3288	2.38022
Pn1.376	1248	1040.8	1.07364	0.0411968
Pn1.377	567	361.194	0	0
Pn1.378	270	87.7164	1	0.455297
Pn1.379	1380	1172.8	1471	50.0913
Pn1.380	2775	2567.8	861	13.3911
Pn1.381	201	39.3719	0	0
Pn1.382	1239	1031.8	0	0
Pn1.383	426	224.46	3	0.533775
Pn1.384	330	137.377	5.12236	1.48913
Pn1.385	1230	1022.8	0	0
Pn1.386	1242	1034.8	0	0
Pn1.387	567	361.194	2	0.221139
Pn1.388	1239	1031.8	0	0
Pn1.389	750	543.01	0	0
Pn1.390	1239	1031.8	0	0
Pn1.391	573	367.12	0	0
Pn1.392	585	378.989	0	0
Pn1.393	543	337.45	0	0
Pn1.394	330	137.377	4.06078	1.18052
Pn1.395	1170	962.804	0	0
Pn1.396	1239	1031.8	0	0
Pn1.397	537	331.567	0	0
Pn1.398	1203	995.804	0	0
Pn1.399	213	46.8394	0	0
Pn1.400	1047	839.804	0	0
Pn1.401	957	749.804	145.014	7.72389
Pn1.402	552	346.339	7	0.807183
Pn1.403	207	43.123	0.162245	0.150258
Pn1.404	948	740.804	1.02264	0.0551307
Pn1.405	963	755.804	0	0
Pn1.406	534	328.615	1	0.121531
Pn1.407	573	367.12	21	2.28448
Pn1.408	405	204.921	0	0
Pn1.409	204	41.2701	0	0
Pn1.410	300	111.92	0	0
Pn1.411	732	525.056	17	1.29306
Pn1.412	876	668.886	0	0
Pn1.413	267	85.33	0	0
Pn1.414	918	710.825	0	0
Pn1.415	564	358.247	3	0.334437
Pn1.416	318	127.027	1	0.314397
Pn1.417	1476	1268.8	0	0
Pn1.418	1230	1022.8	0	0
Pn1.419	426	224.46	0	0
Pn1.420	507	302.206	0	0
Pn1.421	531	325.644	3	0.36792
Pn1.422	327	134.828	0	0
Pn1.423	726	519.072	0	0
Pn1.424	573	367.12	1	0.108785
Pn1.425	246	69.5194	0	0
Pn1.426	330	137.377	28.8133	8.37636
Pn1.427	1230	1022.8	0	0
Pn1.428	330	137.377	0	0
Pn1.429	1137	929.804	0	0
Pn1.430	660	453.295	0	0
Pn1.431	246	69.5194	0	0
Pn1.432	543	337.45	1	0.118349
Pn1.433	330	137.377	28.8133	8.37636
Pn1.434	1239	1031.8	0	0
Pn1.435	576	370.076	0	0
Pn1.436	246	69.5194	456.962	262.512
Pn1.437	1203	995.804	0	0
Pn1.438	1032	824.804	2	0.0968399
Pn1.439	906	698.867	180.173	10.2961
Pn1.440	210	44.9652	0	0
Pn1.441	552	346.339	7	0.807183
Pn1.442	207	43.123	0.162245	0.150258
Pn1.443	882	674.867	7.09337	0.419769
Pn1.444	384	185.486	7	1.50717
Pn1.445	798	590.961	0	0
Pn1.446	306	116.905	0	0
Pn1.447	942	734.804	1.05551	0.0573675
Pn1.448	825	617.961	1.01397	0.0655298
Pn1.449	1119	911.804	0	0
Pn1.450	561	355.267	3	0.337242
Pn1.451	882	674.867	2.36446	0.139923
Pn1.452	936	728.804	0	0
Pn1.453	279	94.822	63.5	26.7448
Pn1.454	294	106.961	0.837755	0.312801
Pn1.455	936	728.804	0	0
Pn1.456	279	94.822	63.5	26.7448
Pn1.457	294	106.961	0.837755	0.312801
Pn1.458	270	87.7164	0	0
Pn1.459	729	522.056	1.01774	0.0778566
Pn1.460	330	137.377	0	0
Pn1.461	960	752.804	0	0
Pn1.462	252	73.9794	0	0
Pn1.463	918	710.825	1.20314	0.0675973
Pn1.464	564	358.247	3	0.334437
Pn1.465	219	50.7362	0	0
Pn1.466	1476	1268.8	0	0
Pn1.467	3258	3050.8	419	5.48498
Pn1.468	687	480.158	74.6224	6.2067
Pn1.469	1446	1238.8	74	2.38564
Pn1.470	291	104.529	0	0
Pn1.471	786	578.961	29.1126	2.0082
Pn1.472	927	719.825	15	0.832223
Pn1.473	543	337.45	1.1042	0.130682
Pn1.474	876	668.886	54	3.22416
Pn1.475	489	284.643	84.4479	11.8485
Pn1.476	741	534.01	803.702	60.1065
Pn1.477	879	671.886	11	0.653841
Pn1.478	1260	1052.8	514.943	19.5338
Pn1.479	1140	932.804	0	0
Pn1.480	705	498.101	222.755	17.8601
Pn1.481	960	752.804	0	0
Pn1.482	1116	908.804	8.5	0.373529
Pn1.483	489	284.643	84.4479	11.8485
Pn1.484	723	516.072	413.757	32.0192
Pn1.485	879	671.886	11	0.653841
Pn1.486	1260	1052.8	509.057	19.3105
Pn1.487	705	498.101	342.245	27.4407
Pn1.488	960	752.804	0	0
Pn1.489	1116	908.804	2.83333	0.12451
Pn1.490	285	99.6383	0	0
Pn1.491	291	104.529	0	0
Pn1.492	1116	908.804	5.66667	0.249019
Pn1.493	1035	827.804	0	0
Pn1.494	495	290.466	22	3.02484
Pn1.495	231	58.8548	0	0
Pn1.496	318	127.027	0	0
Pn1.497	231	58.8548	0	0
Pn1.498	342	147.789	0	0
Pn1.499	1341	1133.8	3	0.105672
Pn1.500	1020	812.804	22	1.08097
Pn1.501	339	145.156	0	0
Pn1.502	342	147.789	0	0
Pn1.503	246	69.5194	0	0
Pn1.504	864	656.886	9	0.547177
Pn1.505	528	322.72	1	0.123751
Pn1.506	345	150.393	6	1.5933
Pn1.507	1494	1286.8	156.784	4.86591
Pn1.508	534	328.615	1	0.121531
Pn1.509	327	134.828	0	0
Pn1.510	357	161.055	18	4.46349
Pn1.511	732	525.056	24	1.8255
Pn1.512	1638	1430.8	139.216	3.88584
Pn1.513	573	367.12	16	1.74056
Pn1.514	477	273.078	14	2.04747
Pn1.515	594	387.843	120.765	12.4354
Pn1.516	294	106.961	0	0
Pn1.517	885	677.867	1.28711	0.0758309
Pn1.518	930	722.825	14	0.773517
Pn1.519	672	465.255	68	5.83705
Pn1.520	258	78.4493	0	0
Pn1.521	1362	1154.8	2322	80.3025
Pn1.522	327	134.828	0	0
Pn1.523	348	153.011	0	0
Pn1.524	522	316.898	7	0.882174
Pn1.525	825	617.961	40	2.58508
Pn1.526	420	218.861	16	2.91962
Pn1.527	621	414.61	0	0
Pn1.528	219	50.7362	0	0
Pn1.529	1380	1172.8	605.785	20.6285
Pn1.530	336	142.562	12	3.36166
Pn1.531	210	44.9652	2	1.77635
Pn1.532	279	94.822	0	0
Pn1.533	1683	1475.8	512.215	13.8611
Pn1.534	1392	1184.8	39.0514	1.31633
Pn1.535	339	145.156	1	0.275131
Pn1.536	330	137.377	0	0
Pn1.537	1083	875.804	0	0
Pn1.538	570	364.151	45	4.93521
Pn1.539	771	563.978	11	0.778944
Pn1.540	930	722.825	1821	100.612
Pn1.541	1896	1688.8	66	1.56077
Pn1.542	1911	1703.8	0	0
Pn1.543	1140	932.804	0	0
Pn1.544	561	355.267	108	12.1407
Pn1.545	834	626.961	1	0.0636993
Pn1.546	468	264.45	64	9.66523
Pn1.547	462	258.727	57	8.79848
Pn1.548	1476	1268.8	77	2.42366
Pn1.549	423	221.646	0	0
Pn1.550	705	498.101	0	0
Pn1.551	354	158.318	0	0
Pn1.552	249	71.7953	0	0
Pn1.553	333	139.962	4.06256	1.15922
Pn1.554	1227	1019.8	0	0
Pn1.555	330	137.377	0	0
Pn1.556	465	261.628	0	0
Pn1.557	432	230.009	0	0
Pn1.558	369	171.755	3.44475	0.800983
Pn1.559	201	39.3719	0	0
Pn1.560	750	543.01	0	0
Pn1.561	1248	1040.8	0	0
Pn1.562	1248	1040.8	1	0.0383713
Pn1.563	369	171.755	3.44475	0.800983
Pn1.564	201	39.3719	0	0
Pn1.565	750	543.01	0	0
Pn1.566	1248	1040.8	0	0
Pn1.567	1248	1040.8	1	0.0383713
Pn1.568	312	121.905	0.110494	0.0361987
Pn1.569	243	67.3185	0	0
Pn1.570	201	39.3719	0	0
Pn1.571	2172	1964.8	22	0.447176
Pn1.572	1257	1049.8	0	0
Pn1.573	201	39.3719	0	0
Pn1.574	2007	1799.8	0	0
Pn1.575	1248	1040.8	0	0
Pn1.576	279	94.822	0	0
Pn1.577	909	701.867	0	0
Pn1.578	1029	821.804	21.4343	1.04164
Pn1.579	1758	1550.8	0	0
Pn1.580	294	106.961	0	0
Pn1.581	279	94.822	0	0
Pn1.582	1107	899.804	0	0
Pn1.583	1698	1490.8	0	0
Pn1.584	201	39.3719	0	0
Pn1.585	208	43.7449	0	0
Pn1.586	1248	1040.8	0	0
Pn1.587	552	346.339	0	0
Pn1.588	705	498.101	0	0
Pn1.589	669	462.268	0	0
Pn1.590	720	513.072	0	0
Pn1.591	1947	1739.8	0	0
Pn1.592	249	71.7953	0	0
Pn1.593	795	587.961	0	0
Pn1.594	1338	1130.8	1.24256	0.0438839
Pn1.595	435	232.865	0	0
Pn1.596	1542	1334.8	0	0
Pn1.597	822	614.961	0	0
Pn1.598	720	513.072	7.875	0.612982
Pn1.599	2820	2612.8	139	2.12463
Pn1.600	249	71.7953	0	0
Pn1.601	1278	1070.8	0	0
Pn1.602	2400	2192.8	0	0
Pn1.603	321	129.634	0	0
Pn1.604	252	73.9794	0	0
Pn1.605	885	677.867	0	0
Pn1.606	393	193.882	0	0
Pn1.607	261	80.6912	0	0
Pn1.608	669	462.268	0	0
Pn1.609	1770	1562.8	0	0
Pn1.610	1056	848.804	0	0
Pn1.611	663	456.282	0	0
Pn1.612	411	210.487	0	0
Pn1.613	540	334.509	0	0
Pn1.614	210	44.9652	0	0
