# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn8.1263            K11498  542.63  659.7  1.5e-198 centromeric protein E
* Pn8.1267            K10293   71.77  311.4   1.4e-93 F-box protein 7
* Pn8.1268            K08850  514.43  530.4  4.2e-160 aurora kinase, other [EC:2.7.11.1]
* Pn8.1270            K20887  925.57 1106.4         0 xyloglucan glycosyltransferase 4 [EC:2.4.1.-]
* Pn8.1272            K02979   49.13   92.6   3.4e-27 small subunit ribosomal protein S28e
* Pn8.1273            K23871   98.10  385.0  3.7e-116 putative pectin methylesterase [EC:2.1.1.-]
* Pn8.1274            K01762  737.63  807.8  9.7e-244 1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]
* Pn8.1275            K09422  126.07  171.4   5.3e-51 transcription factor MYB, plant
* Pn8.1276            K13449  155.07  247.0   3.3e-74 pathogenesis-related protein 1
* Pn8.1284            K12158  172.37  183.1   1.4e-54 ubiquitin-like protein Nedd8
* Pn8.1288            K12191  305.60  368.0  1.1e-110 charged multivesicular body protein 2A
* Pn8.1292            K16296  435.03  697.3  3.1e-210 serine carboxypeptidase-like clade I [EC:3.4.16.-]
* Pn8.1294            K16296  435.03  739.9  4.1e-223 serine carboxypeptidase-like clade I [EC:3.4.16.-]
* Pn8.1296            K01079  105.97  150.5   1.3e-44 phosphoserine phosphatase [EC:3.1.3.3]
* Pn8.1300            K16075   95.47  132.8   1.9e-39 magnesium transporter
* Pn8.1305            K09377  133.43  211.6   2.3e-63 cysteine and glycine-rich protein
* Pn8.1307            K02955  204.90  330.1  8.7e-100 small subunit ribosomal protein S14e
* Pn8.1312            K02984   82.80  516.9  8.2e-156 small subunit ribosomal protein S3Ae
* Pn8.1316            K03105   21.57  191.3   3.3e-57 signal recognition particle subunit SRP19
* Pn8.1323            K18801  154.07  285.5   9.3e-86 glucuronoxylan 4-O-methyltransferase [EC:2.1.1.112]
* Pn8.1324            K16290  532.57  537.7  6.7e-162 xylem cysteine proteinase [EC:3.4.22.-]
* Pn8.1325            K12845  118.83  301.1   8.3e-91 U4/U6 small nuclear ribonucleoprotein SNU13
* Pn8.1332            K06215  110.37  594.2  1.3e-179 pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]
* Pn8.1333            K09422  126.07  179.7   1.6e-53 transcription factor MYB, plant
* Pn8.1336            K00083  566.23  590.0  2.5e-178 cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
* Pn8.1340            K19707  156.10  274.8   9.3e-83 sigma-B regulation protein RsbQ
* Pn8.1342            K20301   63.37  148.6   3.5e-44 trafficking protein particle complex subunit 2
