Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	A0A834Y6R5	Uncharacterized protein OS=Tetracentron sinense OX=13715 GN=HHK36_033302 PE=4 SV=1	Tetracentron sinense	483	941	41.4	63.0	3.5e-119
2	TR	A0A8J5LU30	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_004252 PE=4 SV=1	Zingiber officinale	475	927	41.9	64.1	3.5e-117
3	TR	A0A834TS33	(-)-germacrene D synthase-like isoform X2 OS=Senna tora OX=362788 GN=G2W53_020983 PE=4 SV=1	Senna tora	490	928	40.9	60.4	4e-117
4	TR	F6HN25	Valencene synthase OS=Vitis vinifera OX=29760 GN=VIT_18s0001g05430 PE=4 SV=1	Vitis vinifera	482	923	42.9	61.3	1.7e-116
5	TR	A0A8M8V5E3	Beta-caryophyllene synthase isoform X2 OS=Sesamum indicum OX=4182 GN=LOC105175138 PE=4 SV=1	Sesamum indicum	477	917	41.0	61.3	1.2e-115
6	TR	A0A8J5I3Q1	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_008658 PE=4 SV=1	Zingiber officinale	479	916	41.7	63.3	1.8e-115
7	TR	A0A067DS69	Uncharacterized protein OS=Citrus sinensis OX=2711 GN=CISIN_1g039366mg PE=4 SV=1	Citrus sinensis	547	916	39.0	56.9	1.4e-114
8	TR	A0A9C6WLL4	Probable terpene synthase 2 isoform X3 OS=Arachis duranensis OX=130453 GN=LOC107463235 PE=4 SV=1	Arachis duranensis	504	911	38.5	61.3	2.2e-114
9	TR	A0A9C6WP36	Probable terpene synthase 2 isoform X2 OS=Arachis duranensis OX=130453 GN=LOC107463233 PE=4 SV=1	Arachis duranensis	505	910	38.9	61.3	3.2e-114
10	TR	A0A834ZNE5	Uncharacterized protein OS=Tetracentron sinense OX=13715 GN=HHK36_004909 PE=4 SV=1	Tetracentron sinense	483	905	39.7	63.0	9.1e-114
11	TR	A0A1S4BX22	(-)-germacrene D synthase-like isoform X2 OS=Nicotiana tabacum OX=4097 GN=LOC107812685 PE=4 SV=1	Nicotiana tabacum	479	899	40.3	61.6	6.4e-113
12	TR	A0A8J5IGN3	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_008654 PE=4 SV=1	Zingiber officinale	607	908	40.5	62.2	1.3e-112
13	TR	A0A6J0PCZ2	Beta-eudesmol synthase isoform X2 OS=Elaeis guineensis var. tenera OX=51953 GN=LOC105034997 PE=4 SV=1	Elaeis guineensis var. tenera	483	897	41.4	60.2	1.4e-112
