Accession	Source Database	Name	Tax ID	Tax Name	Length
A0A068BGA5	reviewed	Alcohol acyltransferase 1	3627	Actinidia deliciosa	456
A0A068BIF1	reviewed	Alcohol acyltransferase 9	165200	Actinidia eriantha	432
A0A097ZPE2	reviewed	O-acetyltransferase andG	1549217	Emericella variicolor	481
A0A0A2JWD5	reviewed	Communesin N16 acyltransferase cnsK	27334	Penicillium expansum	466
A0A0D1CFE5	reviewed	Acyltransferase uat1	237631	Ustilago maydis (strain 521 / FGSC 9021)	513
A0A0E3D8P9	reviewed	O-acetyltransferase PC-16	36656	Penicillium crustosum	494
A0A0F7TQP2	reviewed	O-acyltransferase ausP	104259	Penicillium brasilianum	482
A0A0F7TSZ1	reviewed	O-acyltransferase ausQ	104259	Penicillium brasilianum	516
A0A0U5GIM7	reviewed	O-acyltransferase ausP	454130	Aspergillus calidoustus	480
A0A0U5GJY1	reviewed	O-acyltransferase ausQ	454130	Aspergillus calidoustus	502
A0A140JWS4	reviewed	O-acetyltransferase ptmV	69488	Penicillium simplicissimum	494
A0A1U8QLK0	reviewed	O-acyltransferase ausQ	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	516
A0A1Y0BRF4	reviewed	Acetyltransferase adrJ	5082	Penicillium roqueforti	496
A0A2G3D6U1	reviewed	Acyltransferase Pun1	80379	Capsicum chinense	440
A0A2H5AIZ1	reviewed	Hydroxycinnamoyltransferase	39639	Narcissus pseudonarcissus	436
A0A2I1C3W6	reviewed	Acetyltransferase nsrL	1392255	Aspergillus novofumigatus (strain IBT 16806)	487
A0A2K8FQU5	reviewed	Tabersonine-19-hydroxy-O-acetyltransferase	4058	Catharanthus roseus	436
A0A2P1GIW7	reviewed	Stemmadenine O-acetyltransferase	4058	Catharanthus roseus	421
A0A2R6PLK2	reviewed	Alcohol acyltransferase 9	1590841	Actinidia chinensis var. chinensis	432
A0A2R6Q324	reviewed	Alcohol acyltransferase 1	1590841	Actinidia chinensis var. chinensis	456
A0A2R6Q326	reviewed	Alcohol acyltransferase 16	1590841	Actinidia chinensis var. chinensis	456
A0A2Z5CVK5	reviewed	Myricetin 3-O-glucosyl 1,2-rhamnoside 6'-O-caffeoyltransferase AT2	1053288	Crocosmia x crocosmiiflora	433
A0A2Z5CVQ4	reviewed	Myricetin 3-O-glucosyl 1,2-rhamnoside 6'-O-caffeoyltransferase AT1	1053288	Crocosmia x crocosmiiflora	433
A0A345BJP2	reviewed	Acyltransferase clz6	5503	Cochliobolus lunatus	496
A0A3G1DJI9	reviewed	Acyltransferase M4	1828523	Phoma sp. (strain ATCC 20986 / MF5453)	496
A0A481WNM8	reviewed	Enoyl-CoA isomerase/hydratase claC	36656	Penicillium crustosum	878
A0A498KE69	reviewed	Alcohol acyl transferase 1 allele RGc	3750	Malus domestica	459
A0A498KFL4	reviewed	Alcohol acyl transferase 1 allele GSa	3750	Malus domestica	459
A0A498KIQ3	reviewed	Alcohol acyl transferase 1 allele GSd	3750	Malus domestica	459
A0A498KJ69	reviewed	Alcohol acyl transferase 1 allele GSc	3750	Malus domestica	456
A0A4V1DXC4	reviewed	O-acetyltransferase dmxR13	2572248	Cryptosporiopsis sp. (strain 8999)	458
A0A4Y5UJ70	reviewed	Hydroxycinnamoyl-CoA:5-hydroxyanthranilate N-hydroxycinnamoyltransferase HHT4	4498	Avena sativa	445
A0PDV5	reviewed	Rosmarinate synthase	4142	Plectranthus scutellarioides	430
A1DN11	reviewed	O-acetyltransferase anaAT	331117	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)	509
A1XWY7	reviewed	Coniferyl alcohol acyltransferase	4102	Petunia hybrida	454
A2QTE3	reviewed	O-acetyltransferase epaC	425011	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	461
A6SSW1	reviewed	Acyltransferase BOA11	332648	Botryotinia fuckeliana (strain B05.10)	470
A9ZPJ6	reviewed	Agmatine coumaroyltransferase-1	4513	Hordeum vulgare	439
