Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A7T9QPQ1	reviewed	C719A_PIPNI	Piperic acid synthase CYP719A37 (EC 1.14.19.-) (Cytochrome P450 719A37) (PnCYP719) (NADPH--cytochrome P450 reductase) (CPR) (P450R) (EC 1.6.2.4)	CYP719A37	Piper nigrum (Black pepper)	706
A4UVI1	reviewed	FADS1_PAPAN	Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1)	FADS1	Papio anubis (Olive baboon)	444
A5PLL7	reviewed	PDES1_HUMAN	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	PEDS1 KUA PDES TMEM189	Homo sapiens (Human)	270
A8WGA0	reviewed	C27C1_DANRE	Cytochrome P450 27C1 (EC 1.14.19.53) (All-trans retinol 3,4-desaturase)	cyp27c1	Danio rerio (Zebrafish) (Brachydanio rerio)	540
A9SIZ6	reviewed	D5FAD_PHYPA	Acyl-lipid (8-3)-desaturase (EC 1.14.19.30) (AN Delta(5)-fatty-acid desaturase) (Acyl-lipid 5-desaturase) (Delta-5 desaturase) (PPDES5)	DES5 PHYPADRAFT_165175	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)	480
B1NF19	reviewed	C719D_ARGME	Trifunctional (S)-stylopine synthase/(S)-nandinine synthase/(S)-canadine synthase (STS) (EC 1.14.19.64) (EC 1.14.19.68) (EC 1.14.19.73) (Cytochrome P450 719A13)	CYP719A13	Argemone mexicana (Mexican prickly poppy)	504
B7FXW1	reviewed	SQLE_PHATC	Alternative squalene epoxidase (AltSQE) (EC 1.14.19.-) (Alternative squalene monooxygenase)	PHATRDRAFT_45494	Phaeodactylum tricornutum (strain CCAP 1055/1)	348
F4IS32	unreviewed	F4IS32_ARATH	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)	SSI2 AtSSI2 FAB2 FATTY ACID BIOSYNTHESIS 2 LDW1 lesion dwarf mimic 1 suppressor of SA insensitive 2 At2g43710 F18O19.18	Arabidopsis thaliana (Mouse-ear cress)	401
G1UB11	reviewed	ERG5_CANAL	C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5)	ERG5 CYP61 orf19.5178 CAALFM_C702840CA	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	517
G5EG11	reviewed	FAT4_CAEEL	Delta(5) fatty acid desaturase fat-4 (FAT-4) (EC 1.14.19.37) (EC 1.14.19.44) (FAT-4 Delta(5) desaturase) (Fatty acid desaturase 4)	fat-4 des-5 T13F2.1	Caenorhabditis elegans	447
G5EGA5	reviewed	FAT2_CAEEL	Delta(12) fatty acid desaturase fat-2 (FAT-2) (EC 1.14.19.-) (EC 1.14.19.6) (Fatty acid desaturase 2)	fat-2 W02A2.1	Caenorhabditis elegans	376
G5EGH6	reviewed	FAT7_CAEEL	Delta(9)-fatty-acid desaturase fat-7 (FAT-7) (EC 1.14.19.-) (EC 1.14.19.1) (Fatty-acid desaturase 7) (Stearoyl-CoA desaturase fat-7)	fat-7 F10D2.9	Caenorhabditis elegans	338
G5EGN2	reviewed	FAT6_CAEEL	Delta(9)-fatty-acid desaturase fat-6 (EC 1.14.19.-) (EC 1.14.19.1) (Fatty-acid desaturase 6) (FAT-6) (Stearoyl-CoA desaturase fat-6)	fat-6 VZK822L.1	Caenorhabditis elegans	339
I2CYZ4	reviewed	D4FAD_CHLRE	Acyl-lipid (7-3)-desaturase, chloroplastic (EC 1.14.19.31) (Acyl-lipid 4-desaturase) (Fatty acyl delta4 desaturase)	CHLREDRAFT_32523	Chlamydomonas reinhardtii (Chlamydomonas smithii)	516
O00767	reviewed	SCD_HUMAN	Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase)	SCD FADS5 SCD1 SCDOS	Homo sapiens (Human)	359
O09005	reviewed	DEGS1_MOUSE	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Retinol isomerase) (EC 5.2.1.-)	Degs1 Degs Des1 Mdes	Mus musculus (Mouse)	323
O13666	reviewed	ERG3B_SCHPO	Delta(7)-sterol 5(6)-desaturase erg32 (EC 1.14.19.20) (C-5 sterol desaturase erg32) (Ergosterol Delta(5,6) desaturase erg32) (Ergosterol biosynthetic protein 32) (Sterol-C5-desaturase erg32)	erg32 pi075 SPBC27B12.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	329
O13820	reviewed	ERG5_SCHPO	C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5)	erg5 cyp61 SPAC19A8.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	543
O15121	reviewed	DEGS1_HUMAN	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Cell migration-inducing gene 15 protein) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Membrane lipid desaturase) (Retinol isomerase) (EC 5.2.1.-)	DEGS1 DES1 MLD MIG15	Homo sapiens (Human)	323
O22832	reviewed	STAD7_ARATH	Stearoyl-[acyl-carrier-protein] 9-desaturase 7, chloroplastic (Stearoyl-ACP desaturase 7) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase 7) (Protein FATTY ACID BIOSYNTHESIS 2) (Protein SUPPRESSOR OF SA INSENSITIVITY 2) (AtSSI2)	FAB2 SSI2 At2g43710 F18O19.18	Arabidopsis thaliana (Mouse-ear cress)	401
O60427	reviewed	FADS1_HUMAN	Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1)	FADS1 FADSD5	Homo sapiens (Human)	444
O64697	reviewed	C7101_ARATH	Cytochrome P450 710A1 (EC 1.14.19.41) (C-22 sterol desaturase)	CYP710A1 At2g34500 F13P17.35	Arabidopsis thaliana (Mouse-ear cress)	495
O65797	reviewed	ADS1_ARATH	Delta-9 acyl-lipid desaturase 1 (EC 1.14.19.-)	ADS1 At1g06080 T21E18.13	Arabidopsis thaliana (Mouse-ear cress)	305
O75845	reviewed	SC5D_HUMAN	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)	SC5D SC5DL	Homo sapiens (Human)	299
O93875	reviewed	ERG3_CANAX	Delta(7)-sterol 5(6)-desaturase (EC 1.14.19.20) (C-5 sterol desaturase) (Ergosterol Delta(5,6) desaturase) (Ergosterol biosynthesis protein 3) (Sterol-C5-desaturase)	ERG3	Candida albicans (Yeast)	386
O94457	reviewed	ERG3A_SCHPO	Delta(7)-sterol 5(6)-desaturase erg31 (EC 1.14.19.20) (C-5 sterol desaturase erg31) (Ergosterol Delta(5,6) desaturase erg31) (Ergosterol biosynthetic protein 31) (Sterol-C5-desaturase erg31)	erg31 erg3 SPAC1687.16c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	300
