,Orthogroup.ID,AHRD.Descriptions,TAIR.Gene.s..Descriptions,Pfam.Domains,GO.Molecular.Functions,GO.Biological.Processes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pn45.43,11072,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [0.882],basic helix-loop-helix (bHLH) DNA-binding superfamily protein,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,368.165670439967,-8.7179975079382,0.691630331705656,762.632505953349,5.49694689847425E-165,3.09134551202945E-162
Pn2.2377,95,Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.797] | ATP-dependent Clp protease proteolytic subunit [0.091] | terpenoid synthase 13 [0.037] | ATP-dependent Clp protease proteolytic subunit 2 [0.017] | (E)-beta-farnesene synthase [0.008] | Terpenoid synthase 18 [0.008] | Terpenoid synthase 25 [0.008] | Terpenoid synthase 22 [0.004] | Terpenoid synthase 6 [0.004] | Terpenoid synthase 17 [0.004] | ATP-dependent Clp protease proteolytic subunit 1 [0.004] | Terpenoid synthase 20 [0.004] | Terpenoid synthase 30 [0.004] | Terpenoid synthase 19 [0.004] | Terpenoid synthase 29 [0.004],Terpenoid cyclases/Protein prenyltransferases superfamily protein | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | terpene synthase 21,Terpene_synth_C (PF03936) [0.888] | Terpene_synth (PF01397) [0.838] | CLP_protease (PF00574) [0.116] | gag_pre-integrs (PF13976) [0.004] | UBN2 (PF14223) [0.004] | peroxidase (PF00141) [0.004],magnesium ion binding (GO:0000287) [0.888] | lyase activity (GO:0016829) [0.888] | terpene synthase activity (GO:0010333) [0.888] | peroxidase activity (GO:0004601) [0.004] | heme binding (GO:0020037) [0.004],metabolic process (GO:0008152) [0.838] | oxidation-reduction process (GO:0055114) [0.004] | response to oxidative stress (GO:0006979) [0.004],546.558372414858,-12.6899959648926,1.22325926765079,606.869069868424,3.26781373038075E-131,9.73635362449205E-129
Pn30.196,5524,Unkown protein / Representative AHRD below 0.1%,Protein of Unknown Function (DUF239),DUF239 (PF03080) [1.000] | DUF4409 (PF14365) [1.000],NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,200.099942463856,-10.0550184925999,1.20568717606631,594.170486729414,1.84987694864345E-128,5.33499768714545E-126
Pn2.2323,3719,early nodulin-like protein 4 [0.526] | early nodulin-like protein 1 [0.263] | early nodulin-like protein 3 [0.132] | early nodulin-like protein 2 [0.053] | Early nodulin-like protein 1 [0.026],early nodulin-like protein 3 | early nodulin-like protein 1 | early nodulin-like protein 4,Cu_bind_like (PF02298) [1.000] | RALF (PF05498) [0.026],copper ion binding (GO:0005507) [1.000] | electron carrier activity (GO:0009055) [1.000],NULL / Representative annotation below 0.1%,97.8770537634523,-7.16234979439269,0.76222178884827,445.671772876864,2.82502950701605E-96,4.23660258402173E-94
Pn16.1198,706,4-coumarate:CoA ligase 2 [0.360] | 4-coumarate--CoA ligase-like 5 [0.221] | 4-coumarate:CoA ligase 3 [0.140] | 4-coumarate--CoA ligase-like 7 [0.093] | 4-coumarate--CoA ligase-like 4 [0.070] | 4-coumarate--CoA ligase-like 1 [0.058] | 4-coumarate--CoA ligase-like 2 [0.023] | 4-coumarate--CoA ligase-like 3 [0.012] | 4-coumarate--CoA ligase-like 8 [0.012] | 4-coumarate:CoA ligase 5 [0.012],AMP-dependent synthetase and ligase family protein | OPC-8:0 CoA ligase1,AMP-binding (PF00501) [1.000] | AMP-binding_C (PF13193) [0.942] | RVT_3 (PF13456) [0.012] | peroxidase (PF00141) [0.012] | Ist1 (PF03398) [0.012],catalytic activity (GO:0003824) [1.000] | peroxidase activity (GO:0004601) [0.012] | heme binding (GO:0020037) [0.012],metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [0.012] | response to oxidative stress (GO:0006979) [0.012],153.211641164468,-7.31100423342366,0.664245425046297,384.368344182485,5.38163122181239E-83,5.89098755886471E-81
Pn11.754,304,"terpene synthase 03 [0.496] | terpene synthase 10 [0.205] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.173] | terpene synthase 02 [0.110] | Isoprene synthase, chloroplastic [0.008] | 1,8-cineole synthase 1, chloroplastic [0.008]","terpene synthase-like sequence-1,8-cineole | terpene synthase 02 | terpene synthase 03 | Terpenoid cyclases/Protein prenyltransferases superfamily protein | terpene synthase 10",Terpene_synth_C (PF03936) [0.992] | Terpene_synth (PF01397) [0.953],lyase activity (GO:0016829) [1.000] | terpene synthase activity (GO:0010333) [1.000] | magnesium ion binding (GO:0000287) [0.992],metabolic process (GO:0008152) [0.953],13570.8819243503,-7.47531163503688,0.454046614246642,373.505914477804,1.21190370310615E-80,1.25341488741944E-78
Pn1.30,3277,Methionine--tRNA ligase [1.000],"methionine--tRNA ligase, putative / methionyl-tRNA synthetase, putative / MetRS, putative",tRNA-synt_1g (PF09334) [1.000] | tRNA_bind (PF01588) [0.700] | Anticodon_1 (PF08264) [0.025] | Gamma-thionin (PF00304) [0.025],ATP binding (GO:0005524) [1.000] | aminoacyl-tRNA ligase activity (GO:0004812) [1.000] | nucleotide binding (GO:0000166) [1.000] | tRNA binding (GO:0000049) [0.700],tRNA aminoacylation for protein translation (GO:0006418) [1.000] | defense response (GO:0006952) [0.025],1962.26072248294,-8.46893164347771,0.519142775858091,372.505321139681,1.99601955829884E-80,2.0596541267859E-78
Pn15.1052,2517,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI [1.000],NAD(P)-binding Rossmann-fold superfamily protein,adh_short_C2 (PF13561) [1.000],NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,782.686600733093,-5.76535623770507,0.296885596884319,365.718626305773,5.88715691793335E-79,5.84686953063624E-77
Pn11.747,304,"terpene synthase 03 [0.496] | terpene synthase 10 [0.205] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.173] | terpene synthase 02 [0.110] | Isoprene synthase, chloroplastic [0.008] | 1,8-cineole synthase 1, chloroplastic [0.008]","terpene synthase-like sequence-1,8-cineole | terpene synthase 02 | terpene synthase 03 | Terpenoid cyclases/Protein prenyltransferases superfamily protein | terpene synthase 10",Terpene_synth_C (PF03936) [0.992] | Terpene_synth (PF01397) [0.953],lyase activity (GO:0016829) [1.000] | terpene synthase activity (GO:0010333) [1.000] | magnesium ion binding (GO:0000287) [0.992],metabolic process (GO:0008152) [0.953],1418.67144055541,-7.34613379176714,0.472833607159856,363.936584062126,1.43158207869486E-78,1.40626370568738E-76
Pn1.2823,144,Glycosyl hydrolase family protein [1.000],Glycosyl hydrolase family protein,Glyco_hydro_3 (PF00933) [1.000] | Glyco_hydro_3_C (PF01915) [0.968] | ARGLU (PF15346) [0.005] | zf-C2H2 (PF00096) [0.005],"hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000] | metal ion binding (GO:0046872) [0.005]",carbohydrate metabolic process (GO:0005975) [1.000],53.0857115433136,-8.26436400265232,1.20460143178141,345.535413471885,1.38158026173578E-74,1.19533261491333E-72
