"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn1.100",786,"Protein kinase superfamily protein [1.000]","Protein kinase protein with adenine nucleotide alpha hydrolases-like domain","Pkinase (PF00069) [0.988] | Usp (PF00582) [0.687] | Pkinase_Tyr (PF07714) [0.012]","protein kinase activity (GO:0004672) [1.000] | ATP binding (GO:0005524) [0.988]","protein phosphorylation (GO:0006468) [1.000] | response to stress (GO:0006950) [0.687]","6"
"Pn1.1041",1654,"purine permease 11 [0.603] | purine permease 10 [0.345] | purine permease 6 [0.034] | purine permease 8 [0.017]","purine permease 11 | purine permease 6 | Drug/metabolite transporter superfamily protein | purine permease 10","TPT (PF03151) [1.000] | EamA (PF00892) [0.052]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.1089",676,"pyruvate decarboxylase-2 [0.820] | pyruvate decarboxylase-3 [0.180]","Thiamine pyrophosphate dependent pyruvate decarboxylase family protein | pyruvate decarboxylase-2 | pyruvate decarboxylase-3","TPP_enzyme_N (PF02776) [0.978] | TPP_enzyme_C (PF02775) [0.933] | TPP_enzyme_M (PF00205) [0.910]","thiamine pyrophosphate binding (GO:0030976) [1.000] | catalytic activity (GO:0003824) [0.933] | magnesium ion binding (GO:0000287) [0.910]","NULL / Representative annotation below 0.1%","3"
"Pn1.1128",4324,"Eukaryotic aspartyl protease family protein [1.000]","Eukaryotic aspartyl protease family protein","TAXi_C (PF14541) [0.971] | TAXi_N (PF14543) [0.941]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn1.1158",9166,"CDGSH iron-sulfur domain-containing protein 2A [0.609] | CDGSH iron-sulfur domain-containing protein 2B [0.130] | CDGSH iron-sulfur domain-containing protein 2 [0.130] | CDGSH iron-sulfur domain-containing protein NEET [0.087] | CDGSH iron-sulfur domain-containing protein 1 [0.043]","2 iron, 2 sulfur cluster binding","zf-CDGSH (PF09360) [0.913]","2 iron, 2 sulfur cluster binding (GO:0051537) [0.913]","NULL / Representative annotation below 0.1%","4"
"Pn1.1178",11381,"cytochrome P450, family 71, subfamily B, polypeptide 20 [0.438] | cytochrome P450, family 71, subfamily A, polypeptide 21 [0.125] | cytochrome P450, family 71, subfamily B, polypeptide 26 [0.062] | cytochrome P450, family 71, subfamily A, polypeptide 24 [0.062] | cytochrome P450, family 71, subfamily B, polypeptide 37 [0.062] | cytochrome P450, family 71, subfamily B, polypeptide 23 [0.062] | cytochrome P450, family 71, subfamily A, polypeptide 25 [0.062] | cytochrome P450, family 71, subfamily B, polypeptide 2 [0.062] | cytochrome P450, family 71, subfamily B, polypeptide 30 pseudogene [0.062]","Unkown protein(s) / No TAIR description(s)","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","1"
"Pn1.1184",2838,"glycine-rich protein [0.045]","glycine-rich protein","Mlf1IP (PF10248) [0.477]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.1224",545,"Protein YABBY 2 [0.510] | Protein YABBY 5 [0.224] | Protein YABBY 4 [0.194] | Protein YABBY 6 [0.061] | Protein YABBY 1 [0.010]","Plant-specific transcription factor YABBY family protein | plant-specific transcription factor YABBY family protein","YABBY (PF04690) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn1.1243",324,"Plant invertase/pectin methylesterase inhibitor superfamily protein [0.992]","Plant invertase/pectin methylesterase inhibitor superfamily protein | pectin methylesterase inhibitor 1","PMEI (PF04043) [1.000]","enzyme inhibitor activity (GO:0004857) [1.000] | pectinesterase activity (GO:0030599) [1.000]","NULL / Representative annotation below 0.1%","6"
"Pn1.1282",18,"UDP-Glycosyltransferase superfamily protein [0.883] | UDP-glycosyltransferase 74 F1 [0.117]","UDP-Glycosyltransferase superfamily protein | UDP-glucosyl transferase 88A1 | UDP-glucosyl transferase 74D1 | UDP-glucosyl transferase 74B1 | UDP-glucosyl transferase 75B2 | Uridine diphosphate glycosyltransferase 74E2 | UDP-glucosyl transferase 72B3 | UDP-glucosyltransferase 75B1 | UDP-glycosyltransferase 74 F1 | indole-3-acetate beta-D-glucosyltransferase | UDP-glucosyltransferase 74F2","UDPGT (PF00201) [0.977] | CCT (PF06203) [0.002] | PLAC8 (PF04749) [0.002] | AAA (PF00004) [0.002] | F-box (PF00646) [0.002]","transferase activity, transferring hexosyl groups (GO:0016758) [0.977] | protein binding (GO:0005515) [0.003] | ATP binding (GO:0005524) [0.002]","metabolic process (GO:0008152) [0.977]","2"
