Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	SP	P0DO57	Piperamide synthase OS=Piper nigrum OX=13216 GN=PAS PE=1 SV=1	Piper nigrum	460	2411	100.0	100.0	0.0
2	SP	P0DO56	Piperine synthase OS=Piper nigrum OX=13216 GN=PS PE=1 SV=1	Piper nigrum	461	1533	65.3	77.5	0.0
3	TR	A0A6P4ARX0	Benzyl alcohol O-benzoyltransferase-like OS=Ziziphus jujuba OX=326968 GN=LOC107432782 PE=4 SV=1	Ziziphus jujuba	459	1062	50.1	63.4	2.9e-138
4	TR	A0A6A1UY21	Benzyl alcohol O-benzoyltransferase OS=Morella rubra OX=262757 GN=CJ030_MR7G012095 PE=4 SV=1	Morella rubra	452	1049	49.1	64.1	2.1e-136
5	TR	W1NH21	Benzyl alcohol O-benzoyltransferase OS=Amborella trichopoda OX=13333 GN=AMTR_s00011p00264170 PE=4 SV=1	Amborella trichopoda	476	1050	49.0	63.7	3.3e-136
6	TR	A0A6P6XDB1	Benzyl alcohol O-benzoyltransferase-like OS=Coffea arabica OX=13443 GN=LOC113742192 PE=4 SV=1	Coffea arabica	460	1041	48.3	63.8	4.5e-135
7	SP	Q8GT21	Benzyl alcohol O-benzoyltransferase OS=Clarkia breweri OX=36903 PE=1 SV=1	Clarkia breweri	456	1040	46.9	64.5	5.6e-135
8	TR	A0A6P6SMX1	Benzyl alcohol O-benzoyltransferase-like OS=Coffea arabica OX=13443 GN=LOC113692843 PE=4 SV=1	Coffea arabica	470	1041	47.7	63.2	6.2e-135
9	TR	A0A2C9VBN1	Benzyl alcohol O-benzoyltransferase OS=Manihot esculenta OX=3983 GN=MANES_09G131200 PE=4 SV=1	Manihot esculenta	459	1036	46.8	62.5	2.5e-134
10	TR	A0A843W4M8	Benzyl alcohol O-benzoyltransferase OS=Colocasia esculenta OX=4460 GN=Taro_031942 PE=3 SV=1	Colocasia esculenta	455	1035	48.2	64.1	3.1e-134
11	TR	A0A6P6T3U4	Benzyl alcohol O-benzoyltransferase-like isoform X1 OS=Coffea arabica OX=13443 GN=LOC113697293 PE=4 SV=1	Coffea arabica	456	1033	47.9	63.8	6.4e-134
12	TR	A0A6P6SYD0	Benzyl alcohol O-benzoyltransferase-like OS=Coffea arabica OX=13443 GN=LOC113695991 PE=4 SV=1	Coffea arabica	469	1034	47.9	64.0	6.9e-134
13	TR	A0A6P6T4B6	Benzyl alcohol O-benzoyltransferase-like OS=Coffea arabica OX=13443 GN=LOC113697351 PE=4 SV=1	Coffea arabica	456	1032	47.9	63.5	9e-134
14	TR	A0A0S3S599	Benzyl alcohol O-benzoyltransferase OS=Vigna angularis var. angularis OX=157739 GN=Vigan.05G142800 PE=4 SV=1	Vigna angularis var. angularis	458	1031	47.9	62.7	1.4e-133
15	TR	A0A0L9VCZ2	Benzyl alcohol O-benzoyltransferase OS=Phaseolus angularis OX=3914 GN=HKW66_Vig0074180 PE=4 SV=1	Phaseolus angularis	458	1031	47.9	62.7	1.4e-133
16	TR	A0A8K0GZJ8	Benzyl alcohol O-benzoyltransferase OS=Rhamnella rubrinervis OX=2594499 GN=FNV43_RR16834 PE=4 SV=1	Rhamnella rubrinervis	459	1031	48.6	63.1	1.4e-133
17	TR	A0A1S3CHT9	Benzyl alcohol O-benzoyltransferase-like OS=Cucumis melo OX=3656 GN=LOC103501099 PE=4 SV=1	Cucumis melo	459	1031	47.2	64.7	1.4e-133
18	TR	A0A8B9AHW3	Benzyl alcohol O-benzoyltransferase-like OS=Phoenix dactylifera OX=42345 GN=LOC103713019 PE=3 SV=1	Phoenix dactylifera	459	1031	48.1	62.2	1.4e-133
