Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A017SFB8	reviewed	Cytochrome P450 monooxygenase fogE	1388766	Aspergillus ruber (strain CBS 135680)	538	PF00067	31..470
A0A017SR40	reviewed	Echilunin cytochrome P450 monooxygenase	1388766	Aspergillus ruber (strain CBS 135680)	534	PF00067	50..492
A0A068A9T2	reviewed	Cytochrome P450 monooxygenase orf3	1131482	Eupenicillium brefeldianum	513	PF00067	63..475
A0A068AA78	reviewed	Cytochrome P450 monooxygenase orf5	1131482	Eupenicillium brefeldianum	489	PF00067	56..481
A0A068AA98	reviewed	Cytochrome P450 monooxygenase orf4	1131482	Eupenicillium brefeldianum	508	PF00067	48..475
A0A068ACU3	reviewed	Cytochrome P450 monooxygenase orf6	1131482	Eupenicillium brefeldianum	502	PF00067	53..467
A0A068Q5V6	reviewed	Cytochrome P450 71AU50	102107	Prunus mume	497	PF00067	29..484
A0A068Q605	reviewed	Tryptophan N-monooxygenase CYP79A68	102107	Prunus mume	533	PF00067	47..515
A0A068Q609	reviewed	Phenylacetaldehyde oxime monooxygenase CYP71AN24	102107	Prunus mume	526	PF00067	57..500
A0A068Q6L2	reviewed	Cytochrome P450 736A117	102107	Prunus mume	518	PF00067	50..507
A0A068Q721	reviewed	Cytochrome P450 71AP13	102107	Prunus mume	514	PF00067	49..499
A0A068Q7V0	reviewed	Phenylalanine N-monooxygenase CYP79D16	102107	Prunus mume	534	PF00067	48..518
A0A075TMP8	reviewed	Cytochrome P450 monooxygenase patI	27334	Penicillium expansum	526	PF00067	39..482
A0A075TRL5	reviewed	Cytochrome P450 monooxygenase patH	27334	Penicillium expansum	524	PF00067	32..476
A0A084API1	reviewed	Cytochrome P450 monooxygenase SAT11	1280523	Stachybotrys chartarum (strain CBS 109288 / IBT 7711)	526	PF00067	55..484
A0A084R1J1	reviewed	Cytochrome P450 monooxygenase ATR3	1283841	Stachybotrys chlorohalonata (strain IBT 40285)	478	PF00067	134..467
A0A084R1J2	reviewed	Cytochrome P450 monooxygenase ATR14	1283841	Stachybotrys chlorohalonata (strain IBT 40285)	446	PF00067	85..385,389..443
A0A084R1M6	reviewed	Cytochrome P450 monooxygenase ATR2	1283841	Stachybotrys chlorohalonata (strain IBT 40285)	513	PF00067	138..501
A0A084R1M7	reviewed	Cytochrome P450 monooxygenase ATR4	1283841	Stachybotrys chlorohalonata (strain IBT 40285)	524	PF00067	173..500
A0A087X1C5	reviewed	Putative cytochrome P450 2D7	9606	Homo sapiens	515	PF00067	34..329,348..511
A0A097ZPE4	reviewed	Cytochrome P450 monooxygenase andK	1549217	Emericella variicolor	865	PF00067	47..478
A0A098CZ12	reviewed	Cytochrome P450 monooxygenase FGSG_15680	229533	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1)	430	PF00067	14..381
A0A098D1J7	reviewed	Cytochrome P450 monooxygenase CLM2	229533	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1)	529	PF00067	27..476
A0A098DDI4	reviewed	Cytochrome P450 monooxygenase FGSG_08207	229533	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1)	522	PF00067	295..483
A0A098DJ84	reviewed	C-22 sterol desaturase ERG5B	229533	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1)	534	PF00067	73..481
A0A0A2J1Z6	reviewed	Self-sufficient cytochrome P450 monooxygenase CYP505E4	27334	Penicillium expansum	1048	PF00067	8..433
A0A0A2JY25	reviewed	Cytochrome P450 monooxygenase cnsC	27334	Penicillium expansum	495	PF00067	215..471
A0A0B4KZX8	reviewed	Beta-amyrin 16-alpha-hydroxylase CYP87D16	992730	Maesa lanceolata	475	PF00067	33..456
A0A0B4L1W8	reviewed	Cytochrome P450 716A75	992730	Maesa lanceolata	487	PF00067	44..459
A0A0B5KYT4	reviewed	Cytochrome P450 monooxygenase mpaDE'	5074	Penicillium brevicompactum	853	PF00067	48..481
A0A0C1E1L9	reviewed	Cytochrome P450 monooxygenase opaB	40382	Aspergillus ustus	575	PF00067	109..424
A0A0C2W6G6	reviewed	Cytochrome P450 monooxygenase iboC	946122	Amanita muscaria (strain Koide BX008)	561	PF00067	37..416
A0A0C3HJL3	reviewed	Self-sufficient cytochrome P450 monooxygenase CYP505AG1	913774	Oidiodendron maius (strain Zn)	1073	PF00067	12..455
A0A0C5Q4Y6	reviewed	Ferruginol synthase 1	39367	Rosmarinus officinalis	493	PF00067	29..464
A0A0C5QRZ2	reviewed	Ferruginol synthase	268906	Salvia fruticosa	492	PF00067	28..466
A0A0C6DUU3	reviewed	Cytochrome P450 monooxygenase bet2	1979465	Neocamarosporium betae	521	PF00067	72..506
A0A0D1DMJ7	reviewed	Cytochrome P450 monooxygenase cyp1	237631	Ustilago maydis (strain 521 / FGSC 9021)	640	PF00067	152..599
A0A0D1DT62	reviewed	Cytochrome P450 monooxygenase cayp2	237631	Ustilago maydis (strain 521 / FGSC 9021)	535	PF00067	53..523
A0A0D9MRV9	reviewed	O-methylsterigmatocystin oxidoreductase	1392242	Aspergillus flavus (strain ATCC MYA-384 / AF70)	528	PF00067	32..485
A0A0E3D8K9	reviewed	Cytochrome P450 monooxygenase penP	36656	Penicillium crustosum	517	PF00067	174..492
A0A0E3D8L2	reviewed	Cytochrome P450 monooxygenase PC-23	36656	Penicillium crustosum	204	PF00067	1..163
A0A0E3D8M1	reviewed	Cytochrome P450 monooxygenase PC-21	36656	Penicillium crustosum	510	PF00067	80..482
A0A0E3D8M6	reviewed	Cytochrome P450 monooxygenase PC-20	36656	Penicillium crustosum	453	PF00067	277..338,341..411
A0A0E3D8N7	reviewed	Cytochrome P450 monooxygenase janQ	5079	Penicillium janthinellum	501	PF00067	179..481
A0A0E3D8P0	reviewed	Cytochrome P450 monooxygenase janP	5079	Penicillium janthinellum	515	PF00067	179..491
A0A0E3D8P5	reviewed	Cytochrome P450 monooxygenase PC-05	36656	Penicillium crustosum	497	PF00067	221..473
A0A0E3D8P8	reviewed	Cytochrome P450 monooxygenase penQ	36656	Penicillium crustosum	510	PF00067	223..484
A0A0F7TN11	reviewed	Cytochrome P450 monooxygenase ausR	104259	Penicillium brasilianum	496	PF00067	141..477
A0A0F7TN60	reviewed	Cytochrome P450 monooxygenase ausG	104259	Penicillium brasilianum	530	PF00067	242..520
A0A0F7TSZ5	reviewed	Cytochrome P450 monooxygenase ausI	104259	Penicillium brasilianum	500	PF00067	293..471
A0A0G2RKY1	reviewed	Ent-kaurene oxidase	226208	Salvia miltiorrhiza	519	PF00067	48..492
A0A0G4IRM5	reviewed	Mitochondrial hydroperoxide bicyclase CYP50918A1	37360	Plasmodiophora brassicae	549	PF00067	346..463
A0A0G4P2K0	reviewed	Self-sufficient cytochrome P450 monooxygenase CYP505E4	1429867	Penicillium camemberti (strain FM 013)	1049	PF00067	8..432
A0A0N7F297	reviewed	Demethylepipodophyllotoxin synthase	93608	Sinopodophyllum hexandrum	519	PF00067	37..499
A0A0N9HKQ7	reviewed	Bicoumarin synthase desC	1810909	Aspergillus desertorum	536	PF00067	338..511
A0A0N9HT29	reviewed	Desmethyl-deoxy-podophyllotoxin synthase	93608	Sinopodophyllum hexandrum	507	PF00067	33..480
A0A0N9HTU1	reviewed	Desmethylyatein synthase	93608	Sinopodophyllum hexandrum	493	PF00067	31..475
A0A0P0ZEA9	reviewed	Stellatic acid synthase	1549217	Emericella variicolor	522	PF00067	76..366,408..482
A0A0R8YXT5	reviewed	Methylphloroacetophenone oxidase	174080	Cladonia uncialis	445	PF00067	77..445
A0A0S1TP26	reviewed	Ferruginol synthase	396869	Salvia pomifera	453	PF00067	2..425
A0A0S1TPC7	reviewed	Carnosic acid synthase	396869	Salvia pomifera	500	PF00067	33..487
A0A0S1TQ04	reviewed	Salviol synthase	396869	Salvia pomifera	499	PF00067	37..482
A0A0S2IHL2	reviewed	Cytochrome P450 72A397	228393	Kalopanax septemlobus	520	PF00067	89..497
A0A0S2II38	reviewed	Beta-amyrin 28-monooxygenase	228393	Kalopanax septemlobus	481	PF00067	38..453
A0A0U2U8U5	reviewed	Beta-amyrin 28-monooxygenase	50459	Barbarea vulgaris	475	PF00067	34..447
A0A0U2V7I8	reviewed	Cytochrome P450 monooxygenase CYP3	5270	Ustilago maydis	540	PF00067	61..523
A0A0U4ZPJ7	reviewed	Cytochrome P450 monooxygenase ausG	454130	Aspergillus calidoustus	529	PF00067	235..514
A0A0U5CJM3	reviewed	Cytochrome P450 monooxygenase ausI	454130	Aspergillus calidoustus	517	PF00067	212..487
A0A0U5CJT8	reviewed	Cytochrome P450 monooxygenase ausR	454130	Aspergillus calidoustus	500	PF00067	150..488
A0A0U5GRB4	reviewed	Cytochrome P450 monooxygenase drtD	454130	Aspergillus calidoustus	524	PF00067	29..466
A0A0Y0GRS3	reviewed	Sugiol synthase	226208	Salvia miltiorrhiza	494	PF00067	29..473
A0A100IM63	reviewed	Self-sufficient cytochrome P450 monooxygenase CYP505E5	5061	Aspergillus niger	1050	PF00067	8..450
A0A101MN42	reviewed	Self-sufficient cytochrome P450 monooxygenase CYP505E4	48697	Penicillium freii	1049	PF00067	8..446
