"","Descripccion","Especie","X..identidad","Acceso.NCBI","EC.1.14.19","Homologia","Rango.de.Homología","Top.20.homología","Cluster","Tamaño.cluster","Anotacion","Seleccionada","Respaldo.por.articulos","Interaccion.con.metabolitos","X.Interacción.con.proteínas.similares.a.la.vía.de.P..nigrum","Docking","Puntuacion..Total","DNA.Length"
"1","Cytochrome P450 OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_00793800 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",50.3,"A0A443NLJ1","UNIPROT",0.503,17,1,1,5,1,1,NA,NA,NA,NA,NA,1719
"2","methysticin synthase [Piper methysticum]","Piper methysticum",77.1,"QCX36377.1","NCBI",0.771,1,1,1,1,1,1,NA,NA,NA,NA,1.971,1533
"3","cytochrome P450 dependent monooxygenase [Piper nigrum]","Piper nigrum",76.91,"QQS74306.1","NCBI",0.7691,2,1,NA,NA,1,1,NA,NA,NA,NA,1.9691,0
"4","Stylopine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01918500 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",53.9,"A0A443PH68","UNIPROT",0.539,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,573
"5","(S)-canadine synthase [Thalictrum thalictroides]","Thalictrum thalictroides",52.25,"KAF5199716.1","NCBI",0.5225,4,1,NA,NA,1,1,NA,NA,NA,NA,1.7225,1398
"6","(S)-canadine synthase OS=Thalictrum thalictroides OX=46969 GN=FRX31_010697 PE=4 SV=1","Thalictrum thalictroides",52.2,"A0A7J6WQT2","UNIPROT",0.522,5,1,NA,NA,1,1,NA,NA,NA,NA,NA,1398
"7","Cytochrome P450 OS=Aquilegia coerulea OX=218851 GN=AQUCO_00100283v1 PE=3 SV=1","Aquilegia coerulea",51.8,"A0A2G5F9M9","UNIPROT",0.518,6,1,NA,NA,1,1,NA,NA,NA,NA,NA,510
"8","putative CYP719 [synthetic construct]","synthetic construct",51.6,"ANY58164.1","NCBI",0.516,7,1,NA,NA,1,1,NA,NA,NA,NA,1.716,1488
"9","S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01917800 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",51.3,"A0A443PH40","UNIPROT",0.513,8,1,NA,NA,1,1,NA,NA,NA,NA,NA,1476
"10","S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae]","Cinnamomum micranthum f. kanehirae",50.95,"RWR90097.1","NCBI",0.5095,9,1,NA,NA,1,1,NA,NA,NA,NA,1.7095,1476
