"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn1.1322",5943,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [1.000]","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","HLH (PF00010) [1.000]","protein dimerization activity (GO:0046983) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn1.1584",1819,"Leucine-rich repeat protein kinase family protein [1.000]","leucine-rich repeat transmembrane protein kinase family protein | Leucine-rich repeat protein kinase family protein","Pkinase (PF00069) [0.875] | LRR_1 (PF00560) [0.732] | LRRNT_2 (PF08263) [0.714] | LRR_8 (PF13855) [0.268] | LRR_4 (PF12799) [0.214] | Pkinase_Tyr (PF07714) [0.089] | LRR_6 (PF13516) [0.018]","protein kinase activity (GO:0004672) [0.964] | ATP binding (GO:0005524) [0.875] | protein binding (GO:0005515) [0.732]","protein phosphorylation (GO:0006468) [0.964]","2"
"Pn1.1953",321,"Homeodomain-like superfamily protein [1.000]","Homeodomain-like superfamily protein | myb-related protein 1","Myb_CC_LHEQLE (PF14379) [1.000] | Myb_DNA-binding (PF00249) [0.968]","chromatin binding (GO:0003682) [0.968]","NULL / Representative annotation below 0.1%","4"
"Pn1.2045",1802,"response regulator 24 [0.321] | histidine kinase 2 [0.143] | Response regulator MprA [0.089] | histidine kinase 3 [0.089] | response regulator 22 [0.071] | histidine kinase 5 [0.071] | histidine kinase 1 [0.054] | Hybrid signal transduction histidine kinase I [0.054] | Two-component system protein B [0.018] | Signal transduction histidine kinase [0.018] | Hybrid signal transduction histidine kinase A [0.018] | Autoinducer 2 sensor kinase/phosphatase LuxQ [0.018] | Hybrid signal transduction histidine kinase B [0.018] | Response regulator ArlR [0.018]","response regulator 22 | response regulator 24","Response_reg (PF00072) [1.000] | HATPase_c (PF02518) [0.071] | HisKA (PF00512) [0.018]","phosphorelay response regulator activity (GO:0000156) [1.000] | ATP binding (GO:0005524) [0.071] | phosphorelay sensor kinase activity (GO:0000155) [0.018]","phosphorelay signal transduction system (GO:0000160) [1.000] | signal transduction (GO:0007165) [0.018]","3"
"Pn1.2195",3123,"B-box type zinc finger family protein [0.786] | Zinc finger protein CONSTANS-LIKE 3 [0.071] | B-box type zinc finger protein with CCT domain [0.048] | Zinc finger protein CONSTANS-LIKE 2 [0.048] | Zinc finger protein CONSTANS-LIKE 9 [0.024] | Zinc finger protein CONSTANS-LIKE 10 [0.024]","B-box type zinc finger family protein","zf-B_box (PF00643) [0.643]","zinc ion binding (GO:0008270) [0.643]","NULL / Representative annotation below 0.1%","1"
"Pn1.2227",76,"Homeobox-leucine zipper protein ROC7 [0.231] | Homeobox-leucine zipper protein ANTHOCYANINLESS 2 [0.152] | Homeobox-leucine zipper protein HDG11 [0.105] | Homeobox-leucine zipper protein GLABRA 2 [0.101] | Homeobox-leucine zipper protein ROC3 [0.090] | Homeobox-leucine zipper protein ROC8 [0.076] | Homeobox-leucine zipper protein MERISTEM L1 [0.036] | Homeobox-leucine zipper protein HDG8 [0.036] | Homeobox-leucine zipper protein ROC5 [0.022] | Homeobox-leucine zipper protein HDG1 [0.018] | Homeobox-leucine zipper protein ROC2 [0.018] | Homeobox-leucine zipper protein ROC4 [0.018] | Homeobox-leucine zipper protein ROC1 [0.018] | Homeobox-leucine zipper protein ROC6 [0.014] | Homeobox-leucine zipper protein HDG2 [0.011] | Homeobox-leucine zipper protein HDG7 [0.011] | Homeobox-leucine zipper protein ROC9 [0.007] | Homeobox-leucine zipper protein HDG5 [0.007] | Homeobox-leucine zipper protein HDG9 [0.007] | Homeobox-leucine zipper protein HDG12 [0.007] | Homeobox-leucine zipper protein HDG4 [0.007] | Homeobox-leucine zipper protein HDG3 [0.004] | Homeobox-leucine zipper protein HDG10 [0.004]","Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein | HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain | homeodomain GLABROUS 8 | homeodomain GLABROUS 11 | homeodomain GLABROUS 2 | homeodomain GLABROUS 1 | homeodomain GLABROUS 12 | homeodomain GLABROUS 3 | homeodomain GLABROUS 10 | protodermal factor 2 | homeodomain GLABROUS 7 | homeodomain GLABROUS 9 | homeobox-7 | homeodomain GLABROUS 4","START (PF01852) [0.996] | Homeobox (PF00046) [0.924] | Exo70 (PF03081) [0.004] | PORR (PF11955) [0.004]","lipid binding (GO:0008289) [0.996] | sequence-specific DNA binding (GO:0043565) [0.924] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.924]","regulation of transcription, DNA-templated (GO:0006355) [0.924] | exocytosis (GO:0006887) [0.004]","2"
"Pn1.2300",2423,"Carbohydrate-binding-like fold [0.812] | Cyclomaltodextrin glucanotransferase [0.125]","Carbohydrate-binding-like fold","CBM_20 (PF00686) [0.938] | Rho_N (PF07498) [0.083]","starch binding (GO:2001070) [0.938]","DNA-templated transcription, termination (GO:0006353) [0.083]","4"
"Pn1.2314",52,"Wall-associated receptor kinase 2 [0.163] | HXXXD-type acyl-transferase family protein [0.127] | Wall-associated receptor kinase 3 [0.127] | Wall-associated kinase family protein [0.122] | wall-associated kinase 2 [0.119] | Wall-associated receptor kinase 5 [0.099] | wall associated kinase 5 [0.050] | wall associated kinase-like 2 [0.044] | wall associated kinase 3 [0.030] | Wall-associated receptor kinase-like 2 [0.022] | Wall-associated receptor kinase-like 1 [0.014] | Wall-associated receptor kinase 4 [0.014] | Wall-associated receptor kinase-like 22 [0.011] | wall-associated kinase, putative [0.011] | Wall-associated receptor kinase-like 20 [0.008] | Wall-associated receptor kinase 1 [0.008] | wall associated kinase-like 4 [0.006] | Wall-associated receptor kinase-like 9 [0.006] | Wall-associated receptor kinase-like 5 [0.003] | Wall-associated receptor kinase-like 18 [0.003] | wall associated kinase-like 1 [0.003] | wall associated kinase-like 6 [0.003] | Wall-associated receptor kinase-like 8 [0.003] | wall associated kinase-like 5 [0.003] | wall associated kinase 4 [0.003]","Wall-associated kinase family protein | HXXXD-type acyl-transferase family protein | wall-associated kinase, putative | Protein kinase family protein | wall associated kinase-like 2 | wall associated kinase-like 5 | wall associated kinase 5 | wall associated kinase 4 | WALL ASSOCIATED KINASE (WAK)-LIKE 10 | wall-associated kinase 2 | cell wall-associated kinase | wall associated kinase-like 4 | wall associated kinase-like 1 | wall associated kinase 3 | wall associated kinase-like 6","GUB_WAK_bind (PF13947) [0.696] | Pkinase (PF00069) [0.608] | EGF_CA (PF07645) [0.528] | Pkinase_Tyr (PF07714) [0.273] | WAK (PF08488) [0.180] | Transferase (PF02458) [0.130] | EGF (PF00008) [0.017] | LysM (PF01476) [0.014] | cEGF (PF12662) [0.008] | EGF_3 (PF12947) [0.003] | C2 (PF00168) [0.003] | Lectin_legB (PF00139) [0.003]","protein kinase activity (GO:0004672) [0.859] | polysaccharide binding (GO:0030247) [0.696] | ATP binding (GO:0005524) [0.608] | calcium ion binding (GO:0005509) [0.528] | protein serine/threonine kinase activity (GO:0004674) [0.180] | transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [0.130] | protein binding (GO:0005515) [0.019] | carbohydrate binding (GO:0030246) [0.003]","protein phosphorylation (GO:0006468) [0.859] | cell wall macromolecule catabolic process (GO:0016998) [0.014]","2"
"Pn1.2338",1100,"O-fucosyltransferase family protein [1.000]","O-fucosyltransferase family protein","O-FucT (PF10250) [1.000] | NB-ARC (PF00931) [0.014] | Yos1 (PF08571) [0.014]","ADP binding (GO:0043531) [0.014]","NULL / Representative annotation below 0.1%","4"
"Pn1.2429",520,"Phototropic-responsive NPH3 family protein [1.000]","Phototropic-responsive NPH3 family protein","NPH3 (PF03000) [1.000] | BTB (PF00651) [0.580] | zf-TAZ (PF02135) [0.010]","protein binding (GO:0005515) [0.580] | transcription cofactor activity (GO:0003712) [0.010] | histone acetyltransferase activity (GO:0004402) [0.010] | zinc ion binding (GO:0008270) [0.010]","regulation of transcription, DNA-templated (GO:0006355) [0.010]","1"
