# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn1.365             K14293  244.60  271.6   1.7e-82 importin subunit beta-1
* Pn1.517             K08235  152.70  388.3  8.4e-118 xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]
* Pn1.706             K22133  495.67  735.9    7e-223 oxalate---CoA ligase [EC:6.2.1.8]
* Pn1.835             K22133  495.67  740.2  3.5e-224 oxalate---CoA ligase [EC:6.2.1.8]
* Pn1.2338            K23280  343.57  534.5  3.5e-162 rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]
* Pn10.1663           K03671  107.90  129.7   1.9e-39 thioredoxin 1
* Pn10.1427           K01674  234.37  357.2  1.3e-108 carbonic anhydrase [EC:4.2.1.1]
* Pn12.1813           K19861  448.70  540.0    7e-164 benzyl alcohol O-benzoyltransferase [EC:2.3.1.196 2.3.1.232]
* Pn12.1773           K22683  387.33  420.2  1.5e-127 aspartyl protease family protein [EC:3.4.23.-]
* Pn13.2009           K09422  126.07  241.3   2.3e-73 transcription factor MYB, plant
* Pn13.887            K01051   76.27  524.9  2.3e-159 pectinesterase [EC:3.1.1.11]
* Pn3.2282            K01581  225.63  496.0  1.6e-150 ornithine decarboxylase [EC:4.1.1.17]
* Pn14.976            K00021  212.10  767.7  1.3e-232 hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
* Pn14.313            K10206  377.70  834.3  1.1e-252 LL-diaminopimelate aminotransferase [EC:2.6.1.83]
* Pn14.249            K18693  197.67  433.2  2.1e-131 diacylglycerol diphosphate phosphatase / phosphatidate phosphatase [EC:3.1.3.81 3.1.3.4]
* Pn20.401            K23050  424.43  607.3  2.3e-184 phenylcoumaran benzylic ether reductase [EC:1.3.1.-]
* Pn31.55             K03327  104.53  515.2  4.9e-156 multidrug resistance protein, MATE family
* Pn11.2401           K07090   42.73   47.8   1.4e-14 uncharacterized protein
* Pn11.2197           K13993   74.33  114.5   9.3e-35 HSP20 family protein
* Pn18.411            K00700  287.97  715.0  1.7e-216 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
* Pn2.1098            K02083  479.67  641.1  2.8e-194 allantoate deiminase [EC:3.5.3.9]
* Pn4.499             K15402  741.57  909.7  8.1e-276 fatty acid omega-hydroxylase [EC:1.14.-.-]
* Pn4.648             K15402  741.57  909.7  8.1e-276 fatty acid omega-hydroxylase [EC:1.14.-.-]
* Pn4.1643            K00547  261.70  381.3  6.1e-116 homocysteine S-methyltransferase [EC:2.1.1.10]
* Pn6.2605            K00276  550.30  864.2  1.8e-261 primary-amine oxidase [EC:1.4.3.21]
* Pn6.2477            K19861  448.70  545.3  1.7e-165 benzyl alcohol O-benzoyltransferase [EC:2.3.1.196 2.3.1.232]
* Pn6.601             K14455  653.23  702.5  5.7e-213 aspartate aminotransferase, mitochondrial [EC:2.6.1.1]
