"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pn1.1034",657,"pleckstrin homology (PH) domain-containing protein [0.667] | calcium-dependent lipid-binding family protein [0.222] | Vacuolar protein sorting-associated protein 13 [0.111]","pleckstrin homology (PH) domain-containing protein | calcium-dependent lipid-binding family protein","DUF946 (PF06101) [0.511] | Chorein_N (PF12624) [0.444] | DUF1162 (PF06650) [0.389] | Pex24p (PF06398) [0.111] | PH (PF00169) [0.056]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",319.018802177052,-1.88357364135415,0.329712929279097,41.02316324196,6.46564750336987e-09,1.9567434493247e-08
"Pn1.1128",4324,"Eukaryotic aspartyl protease family protein [1.000]","Eukaryotic aspartyl protease family protein","TAXi_C (PF14541) [0.971] | TAXi_N (PF14543) [0.941]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",3208.65427411303,-1.08762322568279,0.215746338468497,212.248645135827,9.51013603050842e-46,2.91657137022886e-44
"Pn1.1135",1497,"Endoglucanase 1 [0.426] | Endoglucanase 17 [0.393] | Endoglucanase 3 [0.066] | Endoglucanase 19 [0.049] | Endoglucanase 4 [0.049] | Endoglucanase 9 [0.016]","cellulase 2 | glycosyl hydrolase 9B13","Glyco_hydro_9 (PF00759) [1.000]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]",18.3098331021743,-3.43615211115904,0.807777050729516,42.4957628947221,3.14888225852341e-09,9.8081011361789e-09
"Pn1.1148",8677,"lipase 1 [1.000]","lipase 1","Abhydro_lipase (PF04083) [0.958] | Abhydrolase_1 (PF00561) [0.333] | Abhydrolase_6 (PF12697) [0.042]","NULL / Representative annotation below 0.1%","lipid metabolic process (GO:0006629) [0.958]",9.49439842304292,-5.39597822402313,1.28468039153614,49.2781102273482,1.13820557843802e-10,4.02767570976297e-10
"Pn1.116",4016,"Peroxidase superfamily protein [1.000]","Peroxidase superfamily protein","peroxidase (PF00141) [1.000]","peroxidase activity (GO:0004601) [1.000] | heme binding (GO:0020037) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000]",453.020825950694,-1.34045984184747,0.461920016678667,127.840143554824,1.57941918355765e-27,1.83802558376251e-26
"Pn1.1178",11381,"cytochrome P450, family 71, subfamily B, polypeptide 20 [0.438] | cytochrome P450, family 71, subfamily A, polypeptide 21 [0.125] | cytochrome P450, family 71, subfamily B, polypeptide 26 [0.062] | cytochrome P450, family 71, subfamily A, polypeptide 24 [0.062] | cytochrome P450, family 71, subfamily B, polypeptide 37 [0.062] | cytochrome P450, family 71, subfamily B, polypeptide 23 [0.062] | cytochrome P450, family 71, subfamily A, polypeptide 25 [0.062] | cytochrome P450, family 71, subfamily B, polypeptide 2 [0.062] | cytochrome P450, family 71, subfamily B, polypeptide 30 pseudogene [0.062]","Unkown protein(s) / No TAIR description(s)","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]",468.461110147981,-3.41141318120087,0.314806436766519,219.085120081272,3.16581881441877e-47,1.04039582513295e-45
"Pn1.1219",799,"PLATZ transcription factor family protein [1.000]","PLATZ transcription factor family protein","PLATZ (PF04640) [1.000] | zf-B_box (PF00643) [0.072]","zinc ion binding (GO:0008270) [0.072]","NULL / Representative annotation below 0.1%",21.3086540604452,-2.69902136233913,0.540857481731691,105.220452231742,1.1714653056644e-22,1.00715123450872e-21
"Pn1.1224",545,"Protein YABBY 2 [0.510] | Protein YABBY 5 [0.224] | Protein YABBY 4 [0.194] | Protein YABBY 6 [0.061] | Protein YABBY 1 [0.010]","Plant-specific transcription factor YABBY family protein | plant-specific transcription factor YABBY family protein","YABBY (PF04690) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",68.6631193899762,-1.53770661546495,0.308392054028267,197.587293063456,1.4010885102243e-42,3.6948987148295e-41
"Pn1.1288",1005,"RING/U-box superfamily protein [0.027]","Unkown protein(s) / No TAIR description(s)","SAP30_Sin3_bdg (PF13867) [0.838] | zf-RING_2 (PF13639) [0.041] | RVT_3 (PF13456) [0.014]","protein binding (GO:0005515) [0.878] | zinc ion binding (GO:0008270) [0.041]","NULL / Representative annotation below 0.1%",165.926571829762,-2.33728510346018,0.438078596698654,49.0657390404501,1.26309111124563e-10,4.45348503878846e-10
"Pn1.1402",2588,"VEFS-Box of polycomb protein [1.000]","VEFS-Box of polycomb protein","VEFS-Box (PF09733) [0.851]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",4.81000037523598,-5.2034675577039,1.33082490389542,30.5396527225056,1.06255361292713e-06,2.60292835041961e-06
